;ID;RegioS;Perioden;Gemeentenaam;SoortRegio;Codering;AantalInwoners;Mannen;Vrouwen;k0Tot15Jaar;k15Tot25Jaar;k25Tot45Jaar;k45Tot65Jaar;k65JaarEnOuder;Ongehuwd;Gehuwd;Gescheiden;Verweduwd;Bevolkingsdichtheid;HuishoudensTotaal;Eenpersoonshuishoudens;HuishoudensZonderKinderen;HuishoudensMetKinderen;GemiddeldeHuishoudensgrootte;GeboorteTotaal;GeboorteRelatief;SterfteTotaal;SterfteRelatief;WestersTotaal;NietWestersTotaal;Marokko;NederlandseAntillenEnAruba;Suriname;Turkije;OverigNietWesters;Woningvoorraad;PercentageGestapeldeBouw;PercentageLeegstand;GemiddeldeWoningwaarde;Koopwoningen;HuurwoningenTotaal;InBezitWoningcorporatie;InBezitOverigeVerhuurders;EigendomOnbekend;BouwjaarklasseVanaf;BouwjaarklasseTot;Totaal;Appartement;Tussenwoning;Hoekwoning;TweeOnderEenKapWoning;VrijstaandeWoning;WoningtypeOnbekend;PercentageWoningenMetStadsverwarming;Totaal;Appartement;Tussenwoning;Hoekwoning;TweeOnderEenKapWoning;VrijstaandeWoning;WoningtypeOnbekend;AantalInkomensontvangers;GemiddeldInkomenPerInkomensontvanger;GemiddeldInkomenPerInwoner;PersonenMetLaagInkomen;PersonenMetHoogInkomen;NietActieven;HuishoudenMetLaagInkomen;HuishoudenMetHoogInkomen;HuishoudenMetLageKoopkracht;HuishOnderOfRondSociaalMinimum;AlgemeneBijstandsuitkeringenTotaal;AlgemeneBijstandsuitkeringenRelatief;AlgemeneBijstandsuitkJaarmutatie;AOUitkeringenTotaal;AOUitkeringenRelatief;AOUitkeringenJaarmutatie;WWUitkeringenTotaal;WWUitkeringenRelatief;WWUitkeringenJaarmutatie;AantalAgrarischeBedrijven;AgrarischeBedrijvenJaarmutatie;Gewassenbedrijven;Veeteeltbedrijven;Combinatiebedrijven;BedrijfsvestigingenTotaal;Industrie;CommercieleDienstverlening;NietCommercieleDienstverlening;BedrijfsvestigingenTotaal;ALandbouwBosbouwEnVisserij;BFNijverheidEnEnergie;GIHandelEnHoreca;HJVervoerInformatieEnCommunicatie;KLFinanceleDienstenOnroerendGoed;MNZakelijkeDienstverlening;RUCultuurRecreatieOverigeDiensten;PersonenautoSTotaal;PersonenautoSPerHuishouden;PersonenautoSNaarOppervlakte;Bedrijfsmotorvoertuigen;Motortweewielers;AfstandTotHuisartsenpraktijk;HuisartsenpraktijkenBinnen3Km;AfstandTotHuisartsenpost;AfstandTotZiekenhuis;ZiekenhuizenBinnen20Km;AfstandTotKinderdagverblijf;KinderdagverblijvenBinnen3Km;AfstandTotSchool;ScholenBinnen3Km;AfstandTotSchool;ScholenBinnen5Km;AfstandTotSchool;ScholenBinnen5Km;AfstandTotRestaurant;RestaurantsBinnen3Km;AfstandTotGroteSupermarkt;GroteSupermarktenBinnen3Km;AfstandTotBibliotheek;AfstandTotBioscoop;BioscopenBinnen10Km;AfstandTotZwembad;AfstandTotTreinstation;AfstandTotOpritHoofdverkeersweg;Totaal;Land;Water;TotaalStedelijkBodemgebruik;Verkeersterrein;BebouwdTerrein;SemiBebouwdTerrein;Recreatieterrein;TotaalStedelijkBodemgebruik;Verkeersterrein;BebouwdTerrein;SemiBebouwdTerrein;Recreatieterrein;TotaalNietStedelijkBodemgebruik;AgrarischTerrein;BosEnOpenNatuurlijkTerrein;TotaalNietStedelijkBodemgebruik;AgrarischTerrein;BosEnOpenNatuurlijkTerrein;MeestVoorkomendePostcode;Dekkingspercentage;Stedelijkheid;Omgevingsadressendichtheid;year;unique_ID
0;53728;935;2009JJ00;Maastricht                        ;Gemeente  ;GM0935    ;118290.0;56770.0;61520.0;13.0;16.0;25.0;28.0;18.0;48.0;38.0;8.0;6.0;2082.0;61690.0;48.0;28.0;25.0;1.9;895.0;8.0;1265.0;11.0;15.0;7.0;1.0;0.0;0.0;1.0;4.0;56425.0;;;207.0;41.0;58.0;40.0;18.0;2.0;7.0;93.0;1600.0;1100.0;1650.0;1900.0;2350.0;3200.0;1100.0;0.0;3050.0;2250.0;3300.0;3500.0;3800.0;4900.0;2950.0;85100.0;26.1;19.6;47.0;16.0;31.0;49.0;14.0;10.0;11.0;2690.0;48.0;-10.0;7380.0;90.0;;2140.0;26.0;;50.0;-4.0;52.0;17.0;31.0;5845.0;14.0;70.0;16.0;;;;;;;;;44650.0;0.7;786.0;4420.0;2940.0;;;;3.8;1.2;1.0;7.9;0.6;12.6;2.2;3.1;1.8;3.1;0.7;100.3;0.6;12.6;1.7;2.4;2.0;2.5;2.5;2.3;6006.0;5682.0;324.0;;;;;;;;;;;;;;;;;  .  ;;2.0;2111.0;2009;0_2009
1;53729;935;2010JJ00;Maastricht                        ;Gemeente  ;GM0935    ;118535.0;56955.0;61575.0;12.0;17.0;25.0;28.0;18.0;48.0;37.0;8.0;6.0;2086.0;62235.0;48.0;27.0;24.0;1.9;960.0;8.0;1230.0;10.0;16.0;8.0;1.0;0.0;0.0;1.0;4.0;56660.0;;;205.0;40.0;59.0;41.0;18.0;1.0;8.0;92.0;1800.0;1250.0;1950.0;2200.0;2700.0;3700.0;1550.0;0.0;3050.0;2300.0;3350.0;3550.0;3850.0;4900.0;2950.0;84800.0;26.8;19.9;47.0;16.0;31.0;49.0;15.0;10.0;11.0;2980.0;52.0;11.0;8020.0;97.0;;2490.0;30.0;;55.0;4.0;62.0;17.0;21.0;5930.0;13.0;70.0;17.0;;;;;;;;;44815.0;0.7;789.0;4300.0;2950.0;0.6;12.1;;3.8;1.4;1.0;7.9;0.6;12.2;2.2;3.2;1.8;3.1;0.7;103.6;0.6;13.2;;2.4;2.0;2.5;2.5;2.3;6006.0;5682.0;324.0;3441.0;342.0;2286.0;292.0;521.0;61.0;6.0;40.0;5.0;9.0;2224.0;2006.0;218.0;39.0;35.0;4.0;  .  ;;2.0;2125.0;2009;1_2009
2;53730;935;2011JJ00;Maastricht                        ;Gemeente  ;GM0935    ;119665.0;57540.0;62125.0;12.0;17.0;24.0;28.0;18.0;49.0;37.0;8.0;6.0;2107.0;63510.0;50.0;27.0;24.0;1.8;900.0;7.0;1195.0;10.0;17.0;8.0;1.0;0.0;0.0;1.0;5.0;56825.0;;;202.0;40.0;59.0;39.0;20.0;1.0;8.0;92.0;1350.0;950.0;1450.0;1650.0;2050.0;2800.0;;0.0;3000.0;2200.0;3250.0;3450.0;3750.0;4900.0;;84000.0;27.5;20.1;47.0;16.0;31.0;49.0;15.0;11.0;12.0;;;;7950.0;95.0;;2370.0;28.0;;60.0;;67.0;17.0;17.0;;;;;7580.0;35.0;865.0;2310.0;465.0;760.0;2060.0;1080.0;44975.0;0.7;792.0;4220.0;2955.0;0.6;12.8;3.7;3.7;1.4;1.0;8.9;0.6;12.3;1.9;3.8;1.8;3.1;0.6;105.5;0.6;13.0;;2.4;2.0;2.5;2.5;2.3;6003.0;5681.0;323.0;;;;;;;;;;;;;;;;;  .  ;;2.0;2143.0;2009;2_2009
3;53731;935;2012JJ00;Maastricht                        ;Gemeente  ;GM0935    ;121050.0;58230.0;62820.0;12.0;18.0;24.0;27.0;19.0;50.0;36.0;8.0;6.0;2131.0;65520.0;51.0;26.0;23.0;1.8;920.0;7.0;1240.0;10.0;18.0;9.0;1.0;0.0;0.0;1.0;5.0;57010.0;35.0;7.0;197.0;42.0;57.0;39.0;18.0;1.0;9.0;91.0;1500.0;1050.0;1600.0;1800.0;2200.0;3150.0;;0.0;2950.0;2200.0;3200.0;3400.0;3750.0;5000.0;;84300.0;27.9;20.3;47.0;16.0;31.0;49.0;15.0;11.0;13.0;2960.0;50.0;;7880.0;93.0;;2430.0;29.0;;;;;;;;;;;7985.0;35.0;890.0;2350.0;520.0;790.0;2200.0;1200.0;45250.0;0.7;797.0;4125.0;2965.0;0.6;12.7;3.7;3.7;1.4;0.9;10.1;0.6;11.8;1.9;3.8;1.8;3.1;0.7;106.2;0.7;12.8;1.0;2.5;2.0;2.6;2.5;2.3;6003.0;5681.0;323.0;;;;;;;;;;;;;;;;;   . ;;2.0;2156.0;2009;3_2009
4;53732;7093500;2009JJ00;Maastricht                        ;Wijk      ;WK093500  ;15920.0;7500.0;8420.0;5.0;26.0;27.0;22.0;20.0;61.0;25.0;8.0;6.0;6028.0;10550.0;69.0;23.0;8.0;1.4;85.0;5.0;240.0;15.0;20.0;7.0;1.0;1.0;0.0;1.0;4.0;8580.0;;;248.0;30.0;68.0;28.0;40.0;2.0;14.0;86.0;1200.0;850.0;1600.0;1500.0;3100.0;4000.0;1600.0;16.0;2700.0;2450.0;3100.0;3050.0;3900.0;4400.0;2800.0;11600.0;28.2;21.8;50.0;21.0;40.0;53.0;17.0;13.0;13.0;260.0;27.0;-14.0;760.0;63.0;;260.0;22.0;;0.0;;;;;2005.0;5.0;82.0;13.0;;;;;;;;;4985.0;0.5;1889.0;540.0;240.0;;;;3.1;1.0;0.6;10.5;0.5;16.4;2.0;3.8;1.5;3.9;0.2;176.6;0.4;19.8;1.1;0.6;2.0;2.9;1.2;1.7;301.0;264.0;37.0;;;;;;;;;;;;;;;;;  .  ;;1.0;3256.0;2009;4_2009
5;53733;7093500;2010JJ00;Maastricht                        ;Wijk      ;WK093500  ;16010.0;7565.0;8440.0;5.0;27.0;26.0;22.0;20.0;62.0;24.0;8.0;6.0;6062.0;10585.0;69.0;22.0;8.0;1.4;90.0;5.0;200.0;12.0;20.0;7.0;1.0;1.0;0.0;1.0;5.0;8655.0;;;249.0;28.0;70.0;28.0;42.0;2.0;15.0;85.0;1350.0;950.0;1900.0;1750.0;3400.0;4350.0;1750.0;18.0;2700.0;2400.0;3100.0;3100.0;3950.0;3700.0;2650.0;11200.0;28.2;21.5;49.0;21.0;40.0;53.0;17.0;13.0;14.0;270.0;29.0;6.0;700.0;58.0;;280.0;23.0;;0.0;;;;;2020.0;5.0;82.0;13.0;;;;;;;;;4880.0;0.5;1849.0;490.0;235.0;0.4;16.5;;3.1;1.1;0.6;10.5;0.5;16.1;2.0;3.8;1.5;3.9;0.2;181.6;0.4;20.7;;0.6;2.0;2.9;1.2;1.7;301.0;264.0;37.0;263.0;30.0;217.0;4.0;12.0;100.0;11.0;83.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;  .  ;;1.0;3281.0;2009;5_2009
6;53734;7093500;2011JJ00;Maastricht                        ;Wijk      ;WK093500  ;16820.0;7960.0;8865.0;5.0;29.0;26.0;21.0;19.0;63.0;23.0;8.0;6.0;6370.0;11350.0;71.0;21.0;8.0;1.4;95.0;5.0;235.0;13.0;23.0;7.0;1.0;1.0;0.0;1.0;5.0;8790.0;;;246.0;26.0;72.0;25.0;47.0;3.0;16.0;84.0;1150.0;800.0;1500.0;1350.0;2600.0;3200.0;;16.0;2700.0;2350.0;3050.0;3150.0;4150.0;4800.0;;11200.0;30.1;21.8;48.0;21.0;39.0;51.0;16.0;13.0;14.0;;;;700.0;55.0;;300.0;23.0;;0.0;;;;;;;;;2510.0;0.0;110.0;1060.0;115.0;310.0;650.0;270.0;4905.0;0.4;1858.0;510.0;215.0;0.4;17.5;3.0;3.0;1.4;0.6;11.5;0.4;16.4;2.0;5.0;1.5;3.9;0.2;183.2;0.4;20.0;;0.6;2.0;2.9;1.2;1.7;301.0;264.0;37.0;;;;;;;;;;;;;;;;;  .  ;;1.0;3341.0;2009;6_2009
7;53735;7093500;2012JJ00;Maastricht                        ;Wijk      ;WK093500  ;17400.0;8260.0;9140.0;5.0;30.0;27.0;19.0;19.0;65.0;22.0;7.0;6.0;6360.0;12010.0;72.0;20.0;7.0;1.4;100.0;5.0;220.0;12.0;26.0;8.0;1.0;1.0;0.0;1.0;6.0;8815.0;56.0;12.0;239.0;32.0;66.0;25.0;41.0;2.0;17.0;83.0;1200.0;850.0;1600.0;1400.0;2900.0;3950.0;;15.0;2600.0;2350.0;2950.0;3000.0;4200.0;4700.0;;11200.0;30.5;21.5;47.0;21.0;38.0;52.0;16.0;14.0;14.0;290.0;27.0;;670.0;50.0;;300.0;23.0;;;;;;;;;;;2650.0;5.0;120.0;1085.0;125.0;325.0;690.0;310.0;4915.0;0.4;1797.0;485.0;240.0;0.4;17.1;2.9;2.9;1.4;0.5;12.7;0.4;15.8;2.0;5.0;1.5;3.9;0.2;182.8;0.4;19.6;1.2;0.7;2.0;3.1;1.2;1.7;310.0;274.0;37.0;;;;;;;;;;;;;;;;;   . ;;1.0;3367.0;2009;7_2009
8;53736;709350000;2009JJ00;Maastricht                        ;Buurt     ;BU09350000;1600.0;800.0;800.0;3.0;36.0;29.0;21.0;11.0;68.0;22.0;7.0;3.0;5313.0;1140.0;72.0;22.0;6.0;1.4;5.0;4.0;10.0;6.0;22.0;8.0;0.0;1.0;0.0;0.0;6.0;1105.0;;;267.0;27.0;67.0;18.0;49.0;6.0;17.0;83.0;1400.0;1250.0;1650.0;2300.0;;;1250.0;0.0;2700.0;2400.0;3200.0;2950.0;;;2600.0;1200.0;26.1;19.6;59.0;18.0;48.0;65.0;16.0;27.0;24.0;20.0;17.0;;80.0;56.0;;40.0;29.0;;0.0;;;;;675.0;2.0;88.0;9.0;;;;;;;;;515.0;0.4;1708.0;75.0;40.0;;;;3.1;1.0;0.5;10.3;0.4;16.8;1.7;4.0;1.7;4.0;0.0;177.6;0.3;19.5;1.1;0.6;2.0;3.1;1.2;1.7;34.0;30.0;4.0;;;;;;;;;;;;;;;;;6211 ;1.0;1.0;3517.0;2009;8_2009
9;53737;709350000;2010JJ00;Maastricht                        ;Buurt     ;BU09350000;1700.0;865.0;835.0;3.0;36.0;29.0;21.0;11.0;70.0;20.0;7.0;3.0;5659.0;1190.0;73.0;21.0;6.0;1.4;5.0;3.0;5.0;4.0;22.0;7.0;0.0;1.0;0.0;0.0;6.0;1135.0;;;260.0;25.0;70.0;19.0;50.0;5.0;19.0;81.0;1650.0;1350.0;2050.0;;;;1700.0;0.0;2650.0;2350.0;3250.0;;;;2500.0;1100.0;27.9;20.0;54.0;21.0;38.0;60.0;16.0;19.0;18.0;20.0;13.0;;60.0;38.0;;30.0;20.0;;0.0;;;;;670.0;2.0;89.0;9.0;;;;;;;;;495.0;0.4;1641.0;75.0;35.0;0.3;16.3;;3.1;1.0;0.5;10.3;0.4;16.4;1.7;4.0;1.7;4.0;0.0;182.0;0.3;20.5;;0.6;2.0;3.1;1.2;1.7;34.0;30.0;4.0;30.0;3.0;26.0;1.0;0.0;100.0;10.0;87.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6211 ;1.0;1.0;3539.0;2009;9_2009
