;ID;RegioS;Gemeentenaam;SoortRegio;Codering;AantalInwoners;Mannen;Vrouwen;k0Tot15Jaar;k15Tot25Jaar;k25Tot45Jaar;k45Tot65Jaar;k65JaarOfOuder;Ongehuwd;Gehuwd;Gescheiden;Verweduwd;WestersTotaal;NietWestersTotaal;Marokko;NederlandseAntillenEnAruba;Suriname;Turkije;OverigNietWesters;GeboorteTotaal;GeboorteRelatief;SterfteTotaal;SterfteRelatief;HuishoudensTotaal;Eenpersoonshuishoudens;HuishoudensZonderKinderen;HuishoudensMetKinderen;GemiddeldeHuishoudensgrootte;Bevolkingsdichtheid;Woningvoorraad;GemiddeldeWoningwaarde;PercentageEengezinswoning;PercentageMeergezinswoning;PercentageBewoond;PercentageLeegstaand;Koopwoningen;HuurwoningenTotaal;InBezitWoningcorporatie;InBezitOverigeVerhuurders;EigendomOnbekend;BouwjaarVoor;BouwjaarVanaf;GemiddeldElektriciteitsverbruikTotaal;Appartement;Tussenwoning;Hoekwoning;TweeOnderEenKapWoning;VrijstaandeWoning;Huurwoning;Koopwoning;GemiddeldAardgasverbruikTotaal;Appartement;Tussenwoning;Hoekwoning;TweeOnderEenKapWoning;VrijstaandeWoning;Huurwoning;Koopwoning;PercentageWoningenMetStadsverwarming;AantalInkomensontvangers;GemiddeldInkomenPerInkomensontvanger;GemiddeldInkomenPerInwoner;PersonenMetLaagInkomen;PersonenMetHoogInkomen;NietActieven;HuishoudensMetLaagInkomen;HuishoudensMetHoogInkomen;HuishoudensMetLageKoopkracht;HuishOnderOfRondSociaalMinimum;PersonenMetEenWWBUitkeringTotaal;PersonenMetEenAOUitkeringTotaal;PersonenMetEenWWUitkeringTotaal;PersonenMetEenAOWUitkeringTotaal;BedrijfsvestigingenTotaal;ALandbouwBosbouwEnVisserij;BFNijverheidEnEnergie;GIHandelEnHoreca;HJVervoerInformatieEnCommunicatie;KLFinancieleDienstenOnroerendGoed;MNZakelijkeDienstverlening;RUCultuurRecreatieOverigeDiensten;PersonenautoSTotaal;PersonenautoSJongerDan6Jaar;PersonenautoS6JaarEnOuder;PersonenautoSBrandstofBenzine;PersonenautoSOverigeBrandstof;PersonenautoSPerHuishouden;PersonenautoSNaarOppervlakte;Bedrijfsmotorvoertuigen;Motortweewielers;AfstandTotHuisartsenpraktijk;AfstandTotGroteSupermarkt;AfstandTotKinderdagverblijf;AfstandTotSchool;ScholenBinnen3Km;OppervlakteTotaal;OppervlakteLand;OppervlakteWater;StedelijkBodemgebruikTotaal;Verkeersterrein;BebouwdTerrein;SemiBebouwdTerrein;Recreatieterrein;StedelijkBodemgebruikTotaal;Verkeersterrein;BebouwdTerrein;SemiBebouwdTerrein;Recreatieterrein;NietStedelijkBodemgebruikTotaal;AgrarischTerrein;BosEnOpenNatuurlijkTerrein;NietStedelijkBodemgebruikTotaal;AgrarischTerrein;BosEnOpenNatuurlijkTerrein;MeestVoorkomendePostcode;Dekkingspercentage;MateVanStedelijkheid;Omgevingsadressendichtheid;IndelingswijzigingWijkenEnBuurten;year;unique_ID
0;11367;GM0935    ;Maastricht                              ;Gemeente  ;GM0935    ;121820;58565;63255;11.0;19.0;24.0;27.0;19.0;50.0;35.0;8.0;6.0;19.0;9.0;1.0;1.0;0.0;1.0;5.0;910;7.0;1190;9.0;66805;52.0;26.0;22.0;1.8;2152;60360;189.0;54.0;46.0;90.0;10.0;38.0;58.0;36.0;22.0;4.0;93.0;7.0;2900.0;2200.0;3350.0;3400.0;3650.0;4950.0;2450.0;3600.0;1550.0;1100.0;1750.0;1950.0;2350.0;3350.0;1400.0;1950.0;0;83800.0;28.1;20.1;47.0;16.0;31.0;49.0;15.0;13.0;13.0;3680.0;7700.0;2620.0;23080.0;8300;40.0;920.0;2370.0;560.0;745.0;2355.0;1310.0;45095;12865;32230;39690;5405;0.7;797.0;4035;3040;0.6;0.6;0.9;0.6;12.2;6003;5662;341;;;;;;;;;;;;;;;;;         .;;2;2205;.;2013;0_2013
1;11368;WK093500  ;Maastricht                              ;Wijk      ;WK093500  ;17780;8415;9365;5.0;32.0;27.0;19.0;19.0;66.0;21.0;7.0;5.0;27.0;8.0;1.0;1.0;0.0;1.0;6.0;100;5.0;205;11.0;12310;72.0;21.0;7.0;1.4;6519;10736;232.0;21.0;79.0;77.0;23.0;22.0;68.0;21.0;47.0;10.0;91.0;9.0;2550.0;2300.0;3450.0;3150.0;4350.0;4800.0;2300.0;3150.0;1200.0;850.0;2150.0;2100.0;3100.0;4700.0;1050.0;1550.0;15;11100.0;30.5;20.7;47.0;21.0;37.0;52.0;16.0;15.0;14.0;320.0;670.0;270.0;3260.0;2715;5.0;130.0;1070.0;135.0;305.0;730.0;335.0;4895;1565;3335;4120;775;0.4;1795.0;465;255;0.4;0.4;0.5;0.4;15.9;310;273;38;;;;;;;;;;;;;;;;;         .;;1;3478;1;2013;1_2013
2;11369;BU09350000;Maastricht                              ;Buurt     ;BU09350000;1930;995;935;2.0;45.0;27.0;15.0;10.0;76.0;16.0;5.0;2.0;31.0;9.0;0.0;1.0;0.0;1.0;7.0;0;2.0;0;;1445;76.0;19.0;5.0;1.3;6231;1530;232.0;18.0;82.0;61.0;39.0;15.0;69.0;6.0;63.0;15.0;98.0;2.0;2700.0;2400.0;4250.0;4100.0;;;2400.0;3250.0;1650.0;1300.0;2750.0;3200.0;;;1400.0;1850.0;0;1100.0;27.0;16.5;55.0;16.0;42.0;60.0;13.0;23.0;20.0;20.0;40.0;20.0;180.0;800;0.0;25.0;545.0;15.0;55.0;90.0;75.0;485;180;310;405;85;0.3;1563.0;115;35;0.3;0.4;0.5;0.4;16.2;36;31;5;;;;;;;;;;;;;;;;;      6211;1.0;1;3790;1;2013;2_2013
3;11370;BU09350001;Maastricht                              ;Buurt     ;BU09350001;1690;825;865;4.0;25.0;24.0;20.0;26.0;59.0;24.0;8.0;9.0;27.0;5.0;0.0;0.0;0.0;0.0;4.0;5;2.0;35;23.0;1075;72.0;21.0;7.0;1.4;3343;978;314.0;34.0;66.0;77.0;23.0;28.0;63.0;20.0;43.0;9.0;99.0;1.0;2750.0;2200.0;3500.0;2850.0;5100.0;5450.0;2350.0;3550.0;2150.0;1400.0;2450.0;2450.0;4900.0;5050.0;1550.0;2600.0;0;1000.0;38.5;25.4;42.0;27.0;34.0;47.0;23.0;;;20.0;50.0;20.0;440.0;245;0.0;10.0;85.0;10.0;30.0;65.0;45.0;550;180;370;465;85;0.5;1088.0;45;40;0.4;0.6;0.4;0.3;15.9;57;51;6;;;;;;;;;;;;;;;;;      6211;1.0;1;3659;1;2013;3_2013
4;11371;BU09350002;Maastricht                              ;Buurt     ;BU09350002;2315;1030;1280;4.0;30.0;20.0;15.0;30.0;63.0;21.0;6.0;10.0;27.0;6.0;0.0;1.0;0.0;0.0;4.0;10;4.0;75;34.0;1450;73.0;21.0;6.0;1.4;9076;1135;226.0;22.0;78.0;81.0;19.0;24.0;66.0;23.0;44.0;9.0;96.0;4.0;2650.0;2250.0;3600.0;3500.0;4800.0;;2200.0;3600.0;1650.0;1450.0;2200.0;2100.0;3200.0;;1550.0;2150.0;0;1300.0;30.4;20.0;52.0;18.0;37.0;58.0;16.0;;15.0;30.0;50.0;20.0;680.0;200;0.0;10.0;50.0;15.0;20.0;80.0;30.0;540;160;380;465;75;0.4;2115.0;40;20;0.4;0.5;0.4;0.4;15.9;26;26;0;;;;;;;;;;;;;;;;;      6211;1.0;1;3517;1;2013;4_2013
5;11372;BU09350003;Maastricht                              ;Buurt     ;BU09350003;3305;1575;1730;4.0;42.0;25.0;16.0;13.0;78.0;13.0;6.0;3.0;31.0;10.0;1.0;1.0;0.0;0.0;8.0;10;3.0;30;9.0;2430;80.0;14.0;6.0;1.3;7809;1750;196.0;28.0;72.0;81.0;19.0;17.0;68.0;29.0;39.0;14.0;99.0;1.0;2400.0;2050.0;3200.0;3650.0;3650.0;;2300.0;3300.0;1550.0;1200.0;1850.0;1850.0;2350.0;;1350.0;1900.0;0;1800.0;22.9;14.4;59.0;12.0;47.0;67.0;9.0;21.0;20.0;80.0;190.0;60.0;440.0;255;0.0;20.0;70.0;15.0;30.0;65.0;60.0;610;145;465;510;105;0.3;1439.0;70;30;0.7;0.4;0.3;0.3;14.7;42;42;0;;;;;;;;;;;;;;;;;      6211;1.0;1;3195;1;2013;5_2013
6;11373;BU09350004;Maastricht                              ;Buurt     ;BU09350004;1760;840;920;4.0;25.0;35.0;22.0;15.0;67.0;18.0;11.0;4.0;25.0;7.0;1.0;1.0;0.0;0.0;5.0;10;6.0;5;4.0;1285;72.0;21.0;7.0;1.3;5772;1129;167.0;11.0;89.0;86.0;14.0;25.0;70.0;26.0;43.0;5.0;98.0;2.0;2200.0;2100.0;3200.0;;;;2100.0;2300.0;1200.0;1150.0;1700.0;;;;1050.0;1500.0;10;1200.0;29.6;21.8;41.0;21.0;29.0;53.0;10.0;12.0;13.0;30.0;90.0;40.0;260.0;170;0.0;10.0;60.0;15.0;20.0;40.0;25.0;480;145;340;405;80;0.4;1571.0;30;30;0.4;0.4;0.6;0.7;13.0;40;31;9;;;;;;;;;;;;;;;;;      6211;1.0;1;2985;1;2013;6_2013
7;11374;BU09350005;Maastricht                              ;Buurt     ;BU09350005;1690;760;925;9.0;31.0;26.0;24.0;10.0;66.0;20.0;10.0;4.0;22.0;15.0;2.0;1.0;0.0;3.0;8.0;10;7.0;5;5.0;1125;69.0;17.0;13.0;1.5;4617;909;166.0;42.0;58.0;90.0;10.0;15.0;79.0;55.0;23.0;6.0;100.0;0.0;2350.0;1800.0;3000.0;2800.0;3150.0;;2250.0;3350.0;1500.0;1150.0;1900.0;2000.0;1800.0;;1450.0;2300.0;0;1100.0;22.7;16.2;58.0;10.0;44.0;67.0;10.0;23.0;23.0;90.0;100.0;40.0;180.0;90;0.0;5.0;15.0;10.0;0.0;40.0;20.0;385;75;310;330;55;0.3;1051.0;35;25;0.3;0.4;0.3;0.6;15.6;45;37;8;;;;;;;;;;;;;;;;;      6221;1.0;1;3388;1;2013;7_2013
8;11375;BU09350006;Maastricht                              ;Buurt     ;BU09350006;5075;2380;2695;5.0;25.0;28.0;20.0;22.0;59.0;30.0;6.0;5.0;26.0;8.0;0.0;0.0;0.0;0.0;6.0;45;9.0;35;7.0;3495;66.0;26.0;7.0;1.4;9054;3305;270.0;11.0;89.0;74.0;26.0;25.0;66.0;12.0;54.0;9.0;76.0;24.0;2650.0;2500.0;4100.0;3450.0;;;2450.0;3150.0;700.0;350.0;2450.0;1700.0;;;500.0;750.0;43;3500.0;36.3;26.1;38.0;30.0;31.0;38.0;22.0;9.0;8.0;50.0;150.0;70.0;1090.0;950;0.0;55.0;245.0;55.0;150.0;355.0;90.0;1840;680;1160;1545;295;0.5;3281.0;130;70;0.3;0.4;0.8;0.5;17.9;66;56;10;;;;;;;;;;;;;;;;;      6221;1.0;1;3573;1;2013;8_2013
9;11376;WK093501  ;Maastricht                              ;Wijk      ;WK093501  ;8690;4065;4625;14.0;11.0;17.0;31.0;28.0;39.0;46.0;7.0;9.0;16.0;2.0;0.0;0.0;0.0;0.0;2.0;55;6.0;115;13.0;4380;41.0;33.0;26.0;2.0;995;4248;338.0;73.0;27.0;93.0;7.0;63.0;35.0;9.0;26.0;2.0;99.0;1.0;3400.0;2100.0;3600.0;3650.0;4050.0;5050.0;2600.0;3950.0;2450.0;1900.0;2350.0;2550.0;2950.0;4100.0;2250.0;2750.0;0;6400.0;41.4;30.9;34.0;33.0;16.0;32.0;33.0;5.0;7.0;40.0;240.0;130.0;2400.0;795;5.0;55.0;125.0;50.0;115.0;305.0;145.0;4290;1410;2880;3545;745;1.0;491.0;215;270;0.8;0.7;1.4;0.7;10.5;915;874;41;;;;;;;;;;;;;;;;;         .;;2;1609;1;2013;9_2013
