"ID";"RegioS";"Perioden";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"AantalInwoners_4";"Mannen_5";"Vrouwen_6";"k_0Tot15Jaar_7";"k_15Tot25Jaar_8";"k_25Tot45Jaar_9";"k_45Tot65Jaar_10";"k_65JaarEnOuder_11";"Ongehuwd_12";"Gehuwd_13";"Gescheiden_14";"Verweduwd_15";"Bevolkingsdichtheid_16";"HuishoudensTotaal_17";"Eenpersoonshuishoudens_18";"HuishoudensZonderKinderen_19";"HuishoudensMetKinderen_20";"GemiddeldeHuishoudensgrootte_21";"GeboorteTotaal_22";"GeboorteRelatief_23";"SterfteTotaal_24";"SterfteRelatief_25";"WestersTotaal_26";"NietWestersTotaal_27";"Marokko_28";"NederlandseAntillenEnAruba_29";"Suriname_30";"Turkije_31";"OverigNietWesters_32";"Woningvoorraad_33";"PercentageGestapeldeBouw_34";"PercentageLeegstand_35";"GemiddeldeWoningwaarde_36";"Koopwoningen_37";"HuurwoningenTotaal_38";"InBezitWoningcorporatie_39";"InBezitOverigeVerhuurders_40";"EigendomOnbekend_41";"BouwjaarklasseVanaf2000_42";"BouwjaarklasseTot2000_43";"Totaal_44";"Appartement_45";"Tussenwoning_46";"Hoekwoning_47";"TweeOnderEenKapWoning_48";"VrijstaandeWoning_49";"WoningtypeOnbekend_50";"PercentageWoningenMetStadsverwarming_51";"Totaal_52";"Appartement_53";"Tussenwoning_54";"Hoekwoning_55";"TweeOnderEenKapWoning_56";"VrijstaandeWoning_57";"WoningtypeOnbekend_58";"AantalInkomensontvangers_59";"GemiddeldInkomenPerInkomensontvanger_60";"GemiddeldInkomenPerInwoner_61";"PersonenMetLaagInkomen_62";"PersonenMetHoogInkomen_63";"NietActieven_64";"HuishoudenMetLaagInkomen_65";"HuishoudenMetHoogInkomen_66";"HuishoudenMetLageKoopkracht_67";"HuishOnderOfRondSociaalMinimum_68";"AlgemeneBijstandsuitkeringenTotaal_69";"AlgemeneBijstandsuitkeringenRelatief_70";"AlgemeneBijstandsuitkJaarmutatie_71";"AOUitkeringenTotaal_72";"AOUitkeringenRelatief_73";"AOUitkeringenJaarmutatie_74";"WWUitkeringenTotaal_75";"WWUitkeringenRelatief_76";"WWUitkeringenJaarmutatie_77";"AantalAgrarischeBedrijven_78";"AgrarischeBedrijvenJaarmutatie_79";"Gewassenbedrijven_80";"Veeteeltbedrijven_81";"Combinatiebedrijven_82";"BedrijfsvestigingenTotaal_83";"Industrie_84";"CommercieleDienstverlening_85";"NietCommercieleDienstverlening_86";"BedrijfsvestigingenTotaal_87";"ALandbouwBosbouwEnVisserij_88";"BFNijverheidEnEnergie_89";"GIHandelEnHoreca_90";"HJVervoerInformatieEnCommunicatie_91";"KLFinanceleDienstenOnroerendGoed_92";"MNZakelijkeDienstverlening_93";"RUCultuurRecreatieOverigeDiensten_94";"PersonenautoSTotaal_95";"PersonenautoSPerHuishouden_96";"PersonenautoSNaarOppervlakte_97";"Bedrijfsmotorvoertuigen_98";"Motortweewielers_99";"AfstandTotHuisartsenpraktijk_100";"HuisartsenpraktijkenBinnen3Km_101";"AfstandTotHuisartsenpost_102";"AfstandTotZiekenhuis_103";"ZiekenhuizenBinnen20Km_104";"AfstandTotKinderdagverblijf_105";"KinderdagverblijvenBinnen3Km_106";"AfstandTotSchool_107";"ScholenBinnen3Km_108";"AfstandTotSchool_109";"ScholenBinnen5Km_110";"AfstandTotSchool_111";"ScholenBinnen5Km_112";"AfstandTotRestaurant_113";"RestaurantsBinnen3Km_114";"AfstandTotGroteSupermarkt_115";"GroteSupermarktenBinnen3Km_116";"AfstandTotBibliotheek_117";"AfstandTotBioscoop_118";"BioscopenBinnen10Km_119";"AfstandTotZwembad_120";"AfstandTotTreinstation_121";"AfstandTotOpritHoofdverkeersweg_122";"Totaal_123";"Land_124";"Water_125";"TotaalStedelijkBodemgebruik_126";"Verkeersterrein_127";"BebouwdTerrein_128";"SemiBebouwdTerrein_129";"Recreatieterrein_130";"TotaalStedelijkBodemgebruik_131";"Verkeersterrein_132";"BebouwdTerrein_133";"SemiBebouwdTerrein_134";"Recreatieterrein_135";"TotaalNietStedelijkBodemgebruik_136";"AgrarischTerrein_137";"BosEnOpenNatuurlijkTerrein_138";"TotaalNietStedelijkBodemgebruik_139";"AgrarischTerrein_140";"BosEnOpenNatuurlijkTerrein_141";"MeestVoorkomendePostcode_142";"Dekkingspercentage_143";"Stedelijkheid_144";"Omgevingsadressendichtheid_145"
"53728";"000935    ";"2009JJ00";"Maastricht                        ";"Gemeente  ";"GM0935    ";"118290";"56770";"61520";"13";"16";"25";"28";"18";"48";"38";"8";"6";"2082";"61690";"48";"28";"25";"1.9";"895";"8";"1265";"11";"15";"7";"1";"0";"0";"1";"4";"56425";;;"207";"41";"58";"40";"18";"2";"7";"93";"1600";"1100";"1650";"1900";"2350";"3200";"1100";"0";"3050";"2250";"3300";"3500";"3800";"4900";"2950";"85100";"26.1";"19.6";"47";"16";"31";"49";"14";"10";"11";"2690";"48";"-10";"7380";"90";;"2140";"26";;"50";"-4";"52";"17";"31";"5845";"14";"70";"16";;;;;;;;;"44650";"0.7";"786";"4420";"2940";;;;"3.8";"1.2";"1";"7.9";"0.6";"12.6";"2.2";"3.1";"1.8";"3.1";"0.7";"100.3";"0.6";"12.6";"1.7";"2.4";"2";"2.5";"2.5";"2.3";"6006";"5682";"324";;;;;;;;;;;;;;;;;"  .  ";;"2";"2111"
"53729";"000935    ";"2010JJ00";"Maastricht                        ";"Gemeente  ";"GM0935    ";"118535";"56955";"61575";"12";"17";"25";"28";"18";"48";"37";"8";"6";"2086";"62235";"48";"27";"24";"1.9";"960";"8";"1230";"10";"16";"8";"1";"0";"0";"1";"4";"56660";;;"205";"40";"59";"41";"18";"1";"8";"92";"1800";"1250";"1950";"2200";"2700";"3700";"1550";"0";"3050";"2300";"3350";"3550";"3850";"4900";"2950";"84800";"26.8";"19.9";"47";"16";"31";"49";"15";"10";"11";"2980";"52";"11";"8020";"97";;"2490";"30";;"55";"4";"62";"17";"21";"5930";"13";"70";"17";;;;;;;;;"44815";"0.7";"789";"4300";"2950";"0.6";"12.1";;"3.8";"1.4";"1";"7.9";"0.6";"12.2";"2.2";"3.2";"1.8";"3.1";"0.7";"103.6";"0.6";"13.2";;"2.4";"2";"2.5";"2.5";"2.3";"6006";"5682";"324";"3441";"342";"2286";"292";"521";"61";"6";"40";"5";"9";"2224";"2006";"218";"39";"35";"4";"  .  ";;"2";"2125"
"53730";"000935    ";"2011JJ00";"Maastricht                        ";"Gemeente  ";"GM0935    ";"119665";"57540";"62125";"12";"17";"24";"28";"18";"49";"37";"8";"6";"2107";"63510";"50";"27";"24";"1.8";"900";"7";"1195";"10";"17";"8";"1";"0";"0";"1";"5";"56825";;;"202";"40";"59";"39";"20";"1";"8";"92";"1350";"950";"1450";"1650";"2050";"2800";;"0";"3000";"2200";"3250";"3450";"3750";"4900";;"84000";"27.5";"20.1";"47";"16";"31";"49";"15";"11";"12";;;;"7950";"95";;"2370";"28";;"60";;"67";"17";"17";;;;;"7580";"35";"865";"2310";"465";"760";"2060";"1080";"44975";"0.7";"792";"4220";"2955";"0.6";"12.8";"3.7";"3.7";"1.4";"1";"8.9";"0.6";"12.3";"1.9";"3.8";"1.8";"3.1";"0.6";"105.5";"0.6";"13";;"2.4";"2";"2.5";"2.5";"2.3";"6003";"5681";"323";;;;;;;;;;;;;;;;;"  .  ";;"2";"2143"
"53731";"000935    ";"2012JJ00";"Maastricht                        ";"Gemeente  ";"GM0935    ";"121050";"58230";"62820";"12";"18";"24";"27";"19";"50";"36";"8";"6";"2131";"65520";"51";"26";"23";"1.8";"920";"7";"1240";"10";"18";"9";"1";"0";"0";"1";"5";"57010";"35";"7";"197";"42";"57";"39";"18";"1";"9";"91";"1500";"1050";"1600";"1800";"2200";"3150";;"0";"2950";"2200";"3200";"3400";"3750";"5000";;"84300";"27.9";"20.3";"47";"16";"31";"49";"15";"11";"13";"2960";"50";;"7880";"93";;"2430";"29";;;;;;;;;;;"7985";"35";"890";"2350";"520";"790";"2200";"1200";"45250";"0.7";"797";"4125";"2965";"0.6";"12.7";"3.7";"3.7";"1.4";"0.9";"10.1";"0.6";"11.8";"1.9";"3.8";"1.8";"3.1";"0.7";"106.2";"0.7";"12.8";"1";"2.5";"2";"2.6";"2.5";"2.3";"6003";"5681";"323";;;;;;;;;;;;;;;;;"   . ";;"2";"2156"
"53732";"07093500  ";"2009JJ00";"Maastricht                        ";"Wijk      ";"WK093500  ";"15920";"7500";"8420";"5";"26";"27";"22";"20";"61";"25";"8";"6";"6028";"10550";"69";"23";"8";"1.4";"85";"5";"240";"15";"20";"7";"1";"1";"0";"1";"4";"8580";;;"248";"30";"68";"28";"40";"2";"14";"86";"1200";"850";"1600";"1500";"3100";"4000";"1600";"16";"2700";"2450";"3100";"3050";"3900";"4400";"2800";"11600";"28.2";"21.8";"50";"21";"40";"53";"17";"13";"13";"260";"27";"-14";"760";"63";;"260";"22";;"0";;;;;"2005";"5";"82";"13";;;;;;;;;"4985";"0.5";"1889";"540";"240";;;;"3.1";"1";"0.6";"10.5";"0.5";"16.4";"2";"3.8";"1.5";"3.9";"0.2";"176.6";"0.4";"19.8";"1.1";"0.6";"2";"2.9";"1.2";"1.7";"301";"264";"37";;;;;;;;;;;;;;;;;"  .  ";;"1";"3256"
"53733";"07093500  ";"2010JJ00";"Maastricht                        ";"Wijk      ";"WK093500  ";"16010";"7565";"8440";"5";"27";"26";"22";"20";"62";"24";"8";"6";"6062";"10585";"69";"22";"8";"1.4";"90";"5";"200";"12";"20";"7";"1";"1";"0";"1";"5";"8655";;;"249";"28";"70";"28";"42";"2";"15";"85";"1350";"950";"1900";"1750";"3400";"4350";"1750";"18";"2700";"2400";"3100";"3100";"3950";"3700";"2650";"11200";"28.2";"21.5";"49";"21";"40";"53";"17";"13";"14";"270";"29";"6";"700";"58";;"280";"23";;"0";;;;;"2020";"5";"82";"13";;;;;;;;;"4880";"0.5";"1849";"490";"235";"0.4";"16.5";;"3.1";"1.1";"0.6";"10.5";"0.5";"16.1";"2";"3.8";"1.5";"3.9";"0.2";"181.6";"0.4";"20.7";;"0.6";"2";"2.9";"1.2";"1.7";"301";"264";"37";"263";"30";"217";"4";"12";"100";"11";"83";"2";"5";"0";"0";"0";"0";"0";"0";"  .  ";;"1";"3281"
"53734";"07093500  ";"2011JJ00";"Maastricht                        ";"Wijk      ";"WK093500  ";"16820";"7960";"8865";"5";"29";"26";"21";"19";"63";"23";"8";"6";"6370";"11350";"71";"21";"8";"1.4";"95";"5";"235";"13";"23";"7";"1";"1";"0";"1";"5";"8790";;;"246";"26";"72";"25";"47";"3";"16";"84";"1150";"800";"1500";"1350";"2600";"3200";;"16";"2700";"2350";"3050";"3150";"4150";"4800";;"11200";"30.1";"21.8";"48";"21";"39";"51";"16";"13";"14";;;;"700";"55";;"300";"23";;"0";;;;;;;;;"2510";"0";"110";"1060";"115";"310";"650";"270";"4905";"0.4";"1858";"510";"215";"0.4";"17.5";"3";"3";"1.4";"0.6";"11.5";"0.4";"16.4";"2";"5";"1.5";"3.9";"0.2";"183.2";"0.4";"20";;"0.6";"2";"2.9";"1.2";"1.7";"301";"264";"37";;;;;;;;;;;;;;;;;"  .  ";;"1";"3341"
"53735";"07093500  ";"2012JJ00";"Maastricht                        ";"Wijk      ";"WK093500  ";"17400";"8260";"9140";"5";"30";"27";"19";"19";"65";"22";"7";"6";"6360";"12010";"72";"20";"7";"1.4";"100";"5";"220";"12";"26";"8";"1";"1";"0";"1";"6";"8815";"56";"12";"239";"32";"66";"25";"41";"2";"17";"83";"1200";"850";"1600";"1400";"2900";"3950";;"15";"2600";"2350";"2950";"3000";"4200";"4700";;"11200";"30.5";"21.5";"47";"21";"38";"52";"16";"14";"14";"290";"27";;"670";"50";;"300";"23";;;;;;;;;;;"2650";"5";"120";"1085";"125";"325";"690";"310";"4915";"0.4";"1797";"485";"240";"0.4";"17.1";"2.9";"2.9";"1.4";"0.5";"12.7";"0.4";"15.8";"2";"5";"1.5";"3.9";"0.2";"182.8";"0.4";"19.6";"1.2";"0.7";"2";"3.1";"1.2";"1.7";"310";"274";"37";;;;;;;;;;;;;;;;;"   . ";;"1";"3367"
"53736";"0709350000";"2009JJ00";"Maastricht                        ";"Buurt     ";"BU09350000";"1600";"800";"800";"3";"36";"29";"21";"11";"68";"22";"7";"3";"5313";"1140";"72";"22";"6";"1.4";"5";"4";"10";"6";"22";"8";"0";"1";"0";"0";"6";"1105";;;"267";"27";"67";"18";"49";"6";"17";"83";"1400";"1250";"1650";"2300";;;"1250";"0";"2700";"2400";"3200";"2950";;;"2600";"1200";"26.1";"19.6";"59";"18";"48";"65";"16";"27";"24";"20";"17";;"80";"56";;"40";"29";;"0";;;;;"675";"2";"88";"9";;;;;;;;;"515";"0.4";"1708";"75";"40";;;;"3.1";"1";"0.5";"10.3";"0.4";"16.8";"1.7";"4";"1.7";"4";"0";"177.6";"0.3";"19.5";"1.1";"0.6";"2";"3.1";"1.2";"1.7";"34";"30";"4";;;;;;;;;;;;;;;;;"6211 ";"1";"1";"3517"
"53737";"0709350000";"2010JJ00";"Maastricht                        ";"Buurt     ";"BU09350000";"1700";"865";"835";"3";"36";"29";"21";"11";"70";"20";"7";"3";"5659";"1190";"73";"21";"6";"1.4";"5";"3";"5";"4";"22";"7";"0";"1";"0";"0";"6";"1135";;;"260";"25";"70";"19";"50";"5";"19";"81";"1650";"1350";"2050";;;;"1700";"0";"2650";"2350";"3250";;;;"2500";"1100";"27.9";"20";"54";"21";"38";"60";"16";"19";"18";"20";"13";;"60";"38";;"30";"20";;"0";;;;;"670";"2";"89";"9";;;;;;;;;"495";"0.4";"1641";"75";"35";"0.3";"16.3";;"3.1";"1";"0.5";"10.3";"0.4";"16.4";"1.7";"4";"1.7";"4";"0";"182";"0.3";"20.5";;"0.6";"2";"3.1";"1.2";"1.7";"34";"30";"4";"30";"3";"26";"1";"0";"100";"10";"87";"3";"0";"0";"0";"0";"0";"0";"0";"6211 ";"1";"1";"3539"
