"ID";"RegioS";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"AantalInwoners_4";"Mannen_5";"Vrouwen_6";"k_0Tot15Jaar_7";"k_15Tot25Jaar_8";"k_25Tot45Jaar_9";"k_45Tot65Jaar_10";"k_65JaarOfOuder_11";"Ongehuwd_12";"Gehuwd_13";"Gescheiden_14";"Verweduwd_15";"WestersTotaal_16";"NietWestersTotaal_17";"Marokko_18";"NederlandseAntillenEnAruba_19";"Suriname_20";"Turkije_21";"OverigNietWesters_22";"GeboorteTotaal_23";"GeboorteRelatief_24";"SterfteTotaal_25";"SterfteRelatief_26";"HuishoudensTotaal_27";"Eenpersoonshuishoudens_28";"HuishoudensZonderKinderen_29";"HuishoudensMetKinderen_30";"GemiddeldeHuishoudensgrootte_31";"Bevolkingsdichtheid_32";"Woningvoorraad_33";"GemiddeldeWoningwaarde_34";"PercentageEengezinswoning_35";"PercentageMeergezinswoning_36";"PercentageBewoond_37";"PercentageLeegstaand_38";"Koopwoningen_39";"HuurwoningenTotaal_40";"InBezitWoningcorporatie_41";"InBezitOverigeVerhuurders_42";"EigendomOnbekend_43";"BouwjaarVoor2000_44";"BouwjaarVanaf2000_45";"GemiddeldElektriciteitsverbruikTotaal_46";"Appartement_47";"Tussenwoning_48";"Hoekwoning_49";"TweeOnderEenKapWoning_50";"VrijstaandeWoning_51";"Huurwoning_52";"Koopwoning_53";"GemiddeldAardgasverbruikTotaal_54";"Appartement_55";"Tussenwoning_56";"Hoekwoning_57";"TweeOnderEenKapWoning_58";"VrijstaandeWoning_59";"Huurwoning_60";"Koopwoning_61";"PercentageWoningenMetStadsverwarming_62";"AantalInkomensontvangers_63";"GemiddeldInkomenPerInkomensontvanger_64";"GemiddeldInkomenPerInwoner_65";"PersonenMetLaagInkomen_66";"PersonenMetHoogInkomen_67";"NietActieven_68";"HuishoudensMetLaagInkomen_69";"HuishoudensMetHoogInkomen_70";"HuishoudensMetLageKoopkracht_71";"HuishOnderOfRondSociaalMinimum_72";"PersonenMetEenWWBUitkeringTotaal_73";"PersonenMetEenAOUitkeringTotaal_74";"PersonenMetEenWWUitkeringTotaal_75";"PersonenMetEenAOWUitkeringTotaal_76";"BedrijfsvestigingenTotaal_77";"ALandbouwBosbouwEnVisserij_78";"BFNijverheidEnEnergie_79";"GIHandelEnHoreca_80";"HJVervoerInformatieEnCommunicatie_81";"KLFinancieleDienstenOnroerendGoed_82";"MNZakelijkeDienstverlening_83";"RUCultuurRecreatieOverigeDiensten_84";"PersonenautoSTotaal_85";"PersonenautoSJongerDan6Jaar_86";"PersonenautoS6JaarEnOuder_87";"PersonenautoSBrandstofBenzine_88";"PersonenautoSOverigeBrandstof_89";"PersonenautoSPerHuishouden_90";"PersonenautoSNaarOppervlakte_91";"Bedrijfsmotorvoertuigen_92";"Motortweewielers_93";"AfstandTotHuisartsenpraktijk_94";"AfstandTotGroteSupermarkt_95";"AfstandTotKinderdagverblijf_96";"AfstandTotSchool_97";"ScholenBinnen3Km_98";"OppervlakteTotaal_99";"OppervlakteLand_100";"OppervlakteWater_101";"StedelijkBodemgebruikTotaal_102";"Verkeersterrein_103";"BebouwdTerrein_104";"SemiBebouwdTerrein_105";"Recreatieterrein_106";"StedelijkBodemgebruikTotaal_107";"Verkeersterrein_108";"BebouwdTerrein_109";"SemiBebouwdTerrein_110";"Recreatieterrein_111";"NietStedelijkBodemgebruikTotaal_112";"AgrarischTerrein_113";"BosEnOpenNatuurlijkTerrein_114";"NietStedelijkBodemgebruikTotaal_115";"AgrarischTerrein_116";"BosEnOpenNatuurlijkTerrein_117";"MeestVoorkomendePostcode_118";"Dekkingspercentage_119";"MateVanStedelijkheid_120";"Omgevingsadressendichtheid_121";"IndelingswijzigingWijkenEnBuurten_122"
"11367";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";"121820";"58565";"63255";"11";"19";"24";"27";"19";"50";"35";"8";"6";"19";"9";"1";"1";"0";"1";"5";"910";"7";"1190";"9";"66805";"52";"26";"22";"1.8";"2152";"60360";"189";"54";"46";"90";"10";"38";"58";"36";"22";"4";"93";"7";"2900";"2200";"3350";"3400";"3650";"4950";"2450";"3600";"1550";"1100";"1750";"1950";"2350";"3350";"1400";"1950";"0";"83800";"28.1";"20.1";"47";"16";"31";"49";"15";"13";"13";"3680";"7700";"2620";"23080";"8300";"40";"920";"2370";"560";"745";"2355";"1310";"45095";"12865";"32230";"39690";"5405";"0.7";"797";"4035";"3040";"0.6";"0.6";"0.9";"0.6";"12.2";"6003";"5662";"341";;;;;;;;;;;;;;;;;"         .";;"2";"2205";"."
"11368";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"17780";"8415";"9365";"5";"32";"27";"19";"19";"66";"21";"7";"5";"27";"8";"1";"1";"0";"1";"6";"100";"5";"205";"11";"12310";"72";"21";"7";"1.4";"6519";"10736";"232";"21";"79";"77";"23";"22";"68";"21";"47";"10";"91";"9";"2550";"2300";"3450";"3150";"4350";"4800";"2300";"3150";"1200";"850";"2150";"2100";"3100";"4700";"1050";"1550";"15";"11100";"30.5";"20.7";"47";"21";"37";"52";"16";"15";"14";"320";"670";"270";"3260";"2715";"5";"130";"1070";"135";"305";"730";"335";"4895";"1565";"3335";"4120";"775";"0.4";"1795";"465";"255";"0.4";"0.4";"0.5";"0.4";"15.9";"310";"273";"38";;;;;;;;;;;;;;;;;"         .";;"1";"3478";"1"
"11369";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1930";"995";"935";"2";"45";"27";"15";"10";"76";"16";"5";"2";"31";"9";"0";"1";"0";"1";"7";"0";"2";"0";;"1445";"76";"19";"5";"1.3";"6231";"1530";"232";"18";"82";"61";"39";"15";"69";"6";"63";"15";"98";"2";"2700";"2400";"4250";"4100";;;"2400";"3250";"1650";"1300";"2750";"3200";;;"1400";"1850";"0";"1100";"27";"16.5";"55";"16";"42";"60";"13";"23";"20";"20";"40";"20";"180";"800";"0";"25";"545";"15";"55";"90";"75";"485";"180";"310";"405";"85";"0.3";"1563";"115";"35";"0.3";"0.4";"0.5";"0.4";"16.2";"36";"31";"5";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3790";"1"
"11370";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1690";"825";"865";"4";"25";"24";"20";"26";"59";"24";"8";"9";"27";"5";"0";"0";"0";"0";"4";"5";"2";"35";"23";"1075";"72";"21";"7";"1.4";"3343";"978";"314";"34";"66";"77";"23";"28";"63";"20";"43";"9";"99";"1";"2750";"2200";"3500";"2850";"5100";"5450";"2350";"3550";"2150";"1400";"2450";"2450";"4900";"5050";"1550";"2600";"0";"1000";"38.5";"25.4";"42";"27";"34";"47";"23";;;"20";"50";"20";"440";"245";"0";"10";"85";"10";"30";"65";"45";"550";"180";"370";"465";"85";"0.5";"1088";"45";"40";"0.4";"0.6";"0.4";"0.3";"15.9";"57";"51";"6";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3659";"1"
"11371";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"2315";"1030";"1280";"4";"30";"20";"15";"30";"63";"21";"6";"10";"27";"6";"0";"1";"0";"0";"4";"10";"4";"75";"34";"1450";"73";"21";"6";"1.4";"9076";"1135";"226";"22";"78";"81";"19";"24";"66";"23";"44";"9";"96";"4";"2650";"2250";"3600";"3500";"4800";;"2200";"3600";"1650";"1450";"2200";"2100";"3200";;"1550";"2150";"0";"1300";"30.4";"20";"52";"18";"37";"58";"16";;"15";"30";"50";"20";"680";"200";"0";"10";"50";"15";"20";"80";"30";"540";"160";"380";"465";"75";"0.4";"2115";"40";"20";"0.4";"0.5";"0.4";"0.4";"15.9";"26";"26";"0";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3517";"1"
"11372";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"3305";"1575";"1730";"4";"42";"25";"16";"13";"78";"13";"6";"3";"31";"10";"1";"1";"0";"0";"8";"10";"3";"30";"9";"2430";"80";"14";"6";"1.3";"7809";"1750";"196";"28";"72";"81";"19";"17";"68";"29";"39";"14";"99";"1";"2400";"2050";"3200";"3650";"3650";;"2300";"3300";"1550";"1200";"1850";"1850";"2350";;"1350";"1900";"0";"1800";"22.9";"14.4";"59";"12";"47";"67";"9";"21";"20";"80";"190";"60";"440";"255";"0";"20";"70";"15";"30";"65";"60";"610";"145";"465";"510";"105";"0.3";"1439";"70";"30";"0.7";"0.4";"0.3";"0.3";"14.7";"42";"42";"0";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3195";"1"
"11373";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1760";"840";"920";"4";"25";"35";"22";"15";"67";"18";"11";"4";"25";"7";"1";"1";"0";"0";"5";"10";"6";"5";"4";"1285";"72";"21";"7";"1.3";"5772";"1129";"167";"11";"89";"86";"14";"25";"70";"26";"43";"5";"98";"2";"2200";"2100";"3200";;;;"2100";"2300";"1200";"1150";"1700";;;;"1050";"1500";"10";"1200";"29.6";"21.8";"41";"21";"29";"53";"10";"12";"13";"30";"90";"40";"260";"170";"0";"10";"60";"15";"20";"40";"25";"480";"145";"340";"405";"80";"0.4";"1571";"30";"30";"0.4";"0.4";"0.6";"0.7";"13";"40";"31";"9";;;;;;;;;;;;;;;;;"      6211";"1";"1";"2985";"1"
"11374";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1690";"760";"925";"9";"31";"26";"24";"10";"66";"20";"10";"4";"22";"15";"2";"1";"0";"3";"8";"10";"7";"5";"5";"1125";"69";"17";"13";"1.5";"4617";"909";"166";"42";"58";"90";"10";"15";"79";"55";"23";"6";"100";"0";"2350";"1800";"3000";"2800";"3150";;"2250";"3350";"1500";"1150";"1900";"2000";"1800";;"1450";"2300";"0";"1100";"22.7";"16.2";"58";"10";"44";"67";"10";"23";"23";"90";"100";"40";"180";"90";"0";"5";"15";"10";"0";"40";"20";"385";"75";"310";"330";"55";"0.3";"1051";"35";"25";"0.3";"0.4";"0.3";"0.6";"15.6";"45";"37";"8";;;;;;;;;;;;;;;;;"      6221";"1";"1";"3388";"1"
"11375";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"5075";"2380";"2695";"5";"25";"28";"20";"22";"59";"30";"6";"5";"26";"8";"0";"0";"0";"0";"6";"45";"9";"35";"7";"3495";"66";"26";"7";"1.4";"9054";"3305";"270";"11";"89";"74";"26";"25";"66";"12";"54";"9";"76";"24";"2650";"2500";"4100";"3450";;;"2450";"3150";"700";"350";"2450";"1700";;;"500";"750";"43";"3500";"36.3";"26.1";"38";"30";"31";"38";"22";"9";"8";"50";"150";"70";"1090";"950";"0";"55";"245";"55";"150";"355";"90";"1840";"680";"1160";"1545";"295";"0.5";"3281";"130";"70";"0.3";"0.4";"0.8";"0.5";"17.9";"66";"56";"10";;;;;;;;;;;;;;;;;"      6221";"1";"1";"3573";"1"
"11376";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"8690";"4065";"4625";"14";"11";"17";"31";"28";"39";"46";"7";"9";"16";"2";"0";"0";"0";"0";"2";"55";"6";"115";"13";"4380";"41";"33";"26";"2";"995";"4248";"338";"73";"27";"93";"7";"63";"35";"9";"26";"2";"99";"1";"3400";"2100";"3600";"3650";"4050";"5050";"2600";"3950";"2450";"1900";"2350";"2550";"2950";"4100";"2250";"2750";"0";"6400";"41.4";"30.9";"34";"33";"16";"32";"33";"5";"7";"40";"240";"130";"2400";"795";"5";"55";"125";"50";"115";"305";"145";"4290";"1410";"2880";"3545";"745";"1";"491";"215";"270";"0.8";"0.7";"1.4";"0.7";"10.5";"915";"874";"41";;;;;;;;;;;;;;;;;"         .";;"2";"1609";"1"
