"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"AantalInwoners_4";"Mannen_5";"Vrouwen_6";"k_0Tot15Jaar_7";"k_15Tot25Jaar_8";"k_25Tot45Jaar_9";"k_45Tot65Jaar_10";"k_65JaarOfOuder_11";"Ongehuwd_12";"Gehuwd_13";"Gescheiden_14";"Verweduwd_15";"WestersTotaal_16";"NietWestersTotaal_17";"Marokko_18";"NederlandseAntillenEnAruba_19";"Suriname_20";"Turkije_21";"OverigNietWesters_22";"GeboorteTotaal_23";"GeboorteRelatief_24";"SterfteTotaal_25";"SterfteRelatief_26";"HuishoudensTotaal_27";"Eenpersoonshuishoudens_28";"HuishoudensZonderKinderen_29";"HuishoudensMetKinderen_30";"GemiddeldeHuishoudensgrootte_31";"Bevolkingsdichtheid_32";"Woningvoorraad_33";"GemiddeldeWoningwaarde_34";"PercentageEengezinswoning_35";"PercentageMeergezinswoning_36";"PercentageBewoond_37";"PercentageOnbewoond_38";"Koopwoningen_39";"HuurwoningenTotaal_40";"InBezitWoningcorporatie_41";"InBezitOverigeVerhuurders_42";"EigendomOnbekend_43";"BouwjaarVoor2000_44";"BouwjaarVanaf2000_45";"GemiddeldElektriciteitsverbruikTotaal_46";"Appartement_47";"Tussenwoning_48";"Hoekwoning_49";"TweeOnderEenKapWoning_50";"VrijstaandeWoning_51";"Huurwoning_52";"Koopwoning_53";"GemiddeldAardgasverbruikTotaal_54";"Appartement_55";"Tussenwoning_56";"Hoekwoning_57";"TweeOnderEenKapWoning_58";"VrijstaandeWoning_59";"Huurwoning_60";"Koopwoning_61";"PercentageWoningenMetStadsverwarming_62";"AantalInkomensontvangers_63";"GemiddeldInkomenPerInkomensontvanger_64";"GemiddeldInkomenPerInwoner_65";"k_40PersonenMetLaagsteInkomen_66";"k_20PersonenMetHoogsteInkomen_67";"Actieven1575Jaar_68";"k_40HuishoudensMetLaagsteInkomen_69";"k_20HuishoudensMetHoogsteInkomen_70";"HuishoudensMetEenLaagInkomen_71";"HuishOnderOfRondSociaalMinimum_72";"PersonenPerSoortUitkeringBijstand_73";"PersonenPerSoortUitkeringAO_74";"PersonenPerSoortUitkeringWW_75";"PersonenPerSoortUitkeringAOW_76";"BedrijfsvestigingenTotaal_77";"ALandbouwBosbouwEnVisserij_78";"BFNijverheidEnEnergie_79";"GIHandelEnHoreca_80";"HJVervoerInformatieEnCommunicatie_81";"KLFinancieleDienstenOnroerendGoed_82";"MNZakelijkeDienstverlening_83";"RUCultuurRecreatieOverigeDiensten_84";"PersonenautoSTotaal_85";"PersonenautoSJongerDan6Jaar_86";"PersonenautoS6JaarEnOuder_87";"PersonenautoSBrandstofBenzine_88";"PersonenautoSOverigeBrandstof_89";"PersonenautoSPerHuishouden_90";"PersonenautoSNaarOppervlakte_91";"Bedrijfsmotorvoertuigen_92";"Motortweewielers_93";"AfstandTotHuisartsenpraktijk_94";"AfstandTotGroteSupermarkt_95";"AfstandTotKinderdagverblijf_96";"AfstandTotSchool_97";"ScholenBinnen3Km_98";"OppervlakteTotaal_99";"OppervlakteLand_100";"OppervlakteWater_101";"StedelijkBodemgebruikTotaal_102";"Verkeersterrein_103";"BebouwdTerrein_104";"SemiBebouwdTerrein_105";"Recreatieterrein_106";"StedelijkBodemgebruikTotaal_107";"Verkeersterrein_108";"BebouwdTerrein_109";"SemiBebouwdTerrein_110";"Recreatieterrein_111";"NietStedelijkBodemgebruikTotaal_112";"AgrarischTerrein_113";"BosEnOpenNatuurlijkTerrein_114";"NietStedelijkBodemgebruikTotaal_115";"AgrarischTerrein_116";"BosEnOpenNatuurlijkTerrein_117";"MeestVoorkomendePostcode_118";"Dekkingspercentage_119";"MateVanStedelijkheid_120";"Omgevingsadressendichtheid_121";"IndelingswijzigingWijkenEnBuurten_122"
"11360";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";"122485";"58855";"63635";"11";"19";"24";"27";"19";"51";"35";"8";"6";"19";"9";"1";"1";"0";"1";"6";"869";"7";"1260";"10";"67280";"52";"26";"22";"1.8";"2163";"61021";"178";"53";"47";"91";"9";"38";"59";"37";"21";"3";"92";"8";"2750";"2100";"3200";"3300";"3500";"4700";"2350";"3450";"1150";"800";"1300";"1450";"1750";"2500";"1000";"1450";;"92900";"26.2";"21.8";"47.5";"15.9";"49.1";"53.4";"13.5";"14.1";"11.4";"4010";"7790";"2870";"23530";"8395";"45";"910";"2345";"590";"740";"2425";"1345";"45300";"12785";"32515";"39795";"5505";"0.7";"800";"3985";"2985";"0.6";"0.6";"0.9";"0.6";"11.7";"6003";"5662";"341";;;;;;;;;;;;;;;;;"         .";;"2";"2211";"."
"11361";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"18025";"8510";"9510";"5";"32";"26";"18";"19";"67";"21";"7";"5";"28";"9";"1";"1";"0";"1";"7";"75";"4";"215";"11";"12570";"72";"20";"7";"1.4";"6609";"10951";"212";"20";"80";"79";"21";"21";"70";"22";"47";"9";"91";"9";"2450";"2200";"3350";"3100";"4050";"4650";"2200";"3100";"900";"650";"1600";"1550";"2350";"3400";"750";"1150";"13.7";"13200";"26.6";"24";"53.7";"18.1";"43";"64.9";"11.2";"16.2";"13.6";"330";"660";"280";"3280";"2725";"5";"135";"1060";"145";"295";"730";"360";"4945";"1520";"3430";"4155";"790";"0.4";"1814";"445";"250";"0.4";"0.4";"0.8";"0.4";"14.9";"310";"273";"38";;;;;;;;;;;;;;;;;"         .";;"1";"3497";"1"
"11362";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"2005";"1015";"985";"2";"45";"28";"15";"10";"78";"15";"5";"2";"34";"9";"1";"1";"0";"1";"7";"0";"0";"10";"5";"1590";"79";"17";"4";"1.3";"6463";"1515";"213";"17";"83";"62";"38";"16";"67";"7";"60";"17";"98";"2";"2250";"2250";"4200";"4950";;;"2250";"3000";"1250";"950";"2150";;;;"1000";"1350";;"1500";"20.9";"19.3";"65.2";"12.3";"37.4";"77.1";"7.4";"25.3";"21.2";"20";"40";"20";"190";"805";"0";"30";"535";"20";"50";"95";"70";"485";"165";"320";"395";"90";"0.3";"1570";"115";"30";"0.3";"0.3";"0.5";"0.4";"13.8";"36";"31";"5";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3828";"1"
"11363";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1720";"835";"885";"4";"28";"22";"20";"26";"60";"23";"7";"10";"30";"6";"0";"0";"0";"0";"5";"5";"3";"50";"29";"1125";"73";"20";"7";"1.4";"3408";"986";"300";"33";"67";"78";"22";"26";"66";"20";"46";"8";"98";"2";"2600";"2100";"3500";"2750";"4700";"5400";"2100";"3700";"1550";"1050";"1800";"1900";"3550";"3850";"1100";"2050";"0";"1200";"34.9";"31.2";"48.9";"22.7";"43.7";"60";"17.3";"16.4";"13.3";"20";"50";"20";"430";"260";"0";"20";"80";"10";"30";"65";"55";"540";"170";"370";"455";"85";"0.5";"1068";"40";"35";"0.5";"0.7";"0.3";"0.3";"13.1";"57";"51";"6";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3678";"1"
"11364";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"2250";"1005";"1245";"4";"32";"20";"15";"29";"64";"20";"7";"10";"28";"6";"0";"1";"0";"1";"4";"5";"2";"50";"23";"1435";"74";"19";"6";"1.4";"8829";"1179";"206";"21";"79";"83";"17";"24";"66";"23";"44";"9";"96";"4";"2550";"2200";"3450";"3600";"4300";;"2150";"3350";"1300";"1050";"1750";"1550";"2300";;"1150";"1550";"0";"1500";"25.9";"23.5";"57.1";"15.9";"39.1";"69.2";"11.5";"13.9";"13.2";"30";"50";"30";"650";"195";"0";"10";"50";"10";"20";"70";"30";"545";"150";"390";"465";"75";"0.4";"2127";"30";"20";"0.4";"0.5";"0.4";"0.4";"14.3";"26";"26";"0";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3533";"1"
"11365";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"3360";"1590";"1770";"4";"42";"25";"16";"13";"78";"13";"7";"3";"31";"9";"1";"1";"0";"0";"7";"5";"2";"30";"8";"2420";"79";"16";"6";"1.3";"7938";"1831";"167";"27";"73";"85";"15";"14";"79";"36";"43";"7";"96";"4";"2300";"1950";"3150";"3250";"3700";;"2150";"3300";"1100";"900";"1400";"1350";"2550";;"1000";"1450";"0";"2300";"19";"17.5";"63.7";"10.1";"37";"77.2";"5.1";"20.4";"16.5";"80";"200";"50";"440";"265";"0";"20";"65";"15";"30";"75";"60";"630";"150";"485";"530";"105";"0.3";"1491";"65";"40";"0.7";"0.4";"0.3";"0.3";"13.9";"42";"42";"0";;;;;;;;;;;;;;;;;"      6211";"1";"1";"3209";"1"
"11366";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1735";"810";"925";"3";"27";"35";"20";"15";"68";"17";"10";"4";"24";"8";"1";"1";"0";"0";"6";"5";"3";"10";"6";"1285";"73";"21";"7";"1.3";"5687";"1163";"152";"10";"90";"84";"16";"22";"74";"28";"45";"4";"98";"2";"2200";"2000";"3450";;;;"1950";"2300";"850";"850";"1250";;;;"800";"1100";"10.1";"1400";"26.7";"24.8";"47.4";"19.7";"51.8";"61.7";"8.5";"15.2";"13.1";"30";"80";"50";"260";"180";"0";"5";"65";"15";"25";"45";"30";"480";"125";"350";"405";"70";"0.4";"1565";"30";"30";"0.4";"0.4";"0.6";"0.7";"12.9";"40";"31";"9";;;;;;;;;;;;;;;;;"      6211";"1";"1";"2997";"1"
"11367";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1730";"795";"935";"9";"30";"27";"24";"11";"66";"20";"10";"4";"22";"15";"2";"1";"0";"3";"9";"10";"5";"15";"9";"1150";"70";"17";"13";"1.5";"4735";"898";"148";"43";"57";"93";"7";"14";"82";"54";"28";"5";"100";"0";"2300";"1800";"2900";"2650";"3300";;"2200";"3350";"1150";"850";"1450";"1400";"1350";;"1050";"1700";"0";"1400";"20.9";"18.2";"60.3";"9.7";"42.3";"73.4";"8.2";"24.2";"19.1";"90";"90";"40";"180";"100";"0";"5";"20";"10";"5";"40";"20";"405";"70";"335";"350";"60";"0.4";"1111";"40";"25";"0.3";"0.5";"1.3";"0.6";"15.5";"45";"37";"8";;;;;;;;;;;;;;;;;"      6221";"1";"1";"3395";"1"
"11368";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"5205";"2450";"2755";"6";"26";"28";"18";"23";"60";"29";"6";"5";"26";"8";"0";"0";"0";"0";"7";"35";"7";"40";"8";"3550";"65";"27";"8";"1.5";"9284";"3379";"250";"11";"89";"76";"24";"25";"64";"12";"52";"11";"75";"25";"2650";"2450";"4050";"3450";;;"2300";"3050";"500";"250";"1750";"1100";;;"350";"550";"41.9";"4100";"32.8";"29.2";"43.8";"26.6";"47.1";"50.7";"16.6";"10.1";"8.7";"60";"150";"80";"1130";"920";"0";"45";"250";"65";"135";"340";"90";"1860";"685";"1175";"1560";"300";"0.5";"3316";"125";"75";"0.4";"0.3";"1.3";"0.5";"17.2";"66";"56";"10";;;;;;;;;;;;;;;;;"      6221";"1";"1";"3591";"1"
"11369";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"8720";"4085";"4640";"13";"11";"17";"31";"28";"39";"45";"7";"9";"16";"3";"0";"0";"0";"0";"2";"65";"7";"130";"15";"4270";"39";"35";"26";"2";"998";"4249";"323";"73";"27";"93";"7";"66";"32";"12";"20";"2";"99";"1";"3300";"2050";"3500";"3550";"3950";"4900";"2350";"3850";"1850";"1450";"1750";"1900";"2150";"3100";"1600";"2050";"0";"6700";"40.2";"32.7";"34.3";"32.9";"56.6";"31.4";"34.2";"6";"5.7";"40";"230";"150";"2450";"810";"5";"60";"125";"40";"125";"315";"145";"4355";"1400";"2955";"3520";"840";"1";"499";"210";"270";"0.9";"0.7";"1.5";"0.7";"10";"915";"874";"41";;;;;;;;;;;;;;;;;"         .";;"2";"1610";"1"
"11370";"BU09350100";"Maastricht                              ";"Buurt     ";"BU09350100";"3125";"1460";"1665";"14";"13";"19";"30";"24";"44";"43";"6";"7";"19";"3";"0";"0";"0";"0";"2";"20";"7";"20";"6";"1590";"43";"32";"26";"2";"3934";"1495";"375";"68";"32";"92";"8";"73";"25";"3";"22";"2";"98";"2";"3450";"2450";"3850";"3650";"4050";"4450";"2600";"3750";"1800";"1250";"1900";"2050";"2250";"2950";"1500";"2000";"0";"2400";"44.1";"35.3";"32.6";"37.3";"57.7";"30";"36.7";"7";"6.3";"10";"70";"50";"750";"355";"0";"15";"60";"15";"60";"150";"50";"1750";"605";"1140";"1295";"450";"1.1";"2198";"95";"110";"0.4";"0.4";"1.2";"0.5";"10.4";"101";"80";"21";;;;;;;;;;;;;;;;;"      6212";"1";"2";"1719";"1"
