"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"Koopwoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"Koopwoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Bedrijfsmotorvoertuigen_93";"Motorfietsen_94";"AfstandTotHuisartsenpraktijk_95";"AfstandTotGroteSupermarkt_96";"AfstandTotKinderdagverblijf_97";"AfstandTotSchool_98";"ScholenBinnen3Km_99";"OppervlakteTotaal_100";"OppervlakteLand_101";"OppervlakteWater_102";"MeestVoorkomendePostcode_103";"Dekkingspercentage_104";"MateVanStedelijkheid_105";"Omgevingsadressendichtheid_106"
"11269";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";".";"122397";"58799";"63598";"13559";"23533";"28607";"32518";"24180";"63061";"41852";"10506";"6978";"23491";"11913";"1817";"643";"384";"1595";"7474";"927";"7";"1293";"10";"67775";"35975";"17379";"14421";"1.8";"2162";"60764";"174";"53";"47";"92";"8";"39";"59";"36";"22";"3";"92";"8";"2700";"2080";"3100";"3250";"3460";"4620";"2290";"3380";"1210";"860";"1370";"1570";"1880";"2700";"1080";"1540";;"94200";"27.2";"22.9";"47.3";"16.3";"49.4";"54.9";"13.2";"11.4";"9.9";"4020";"7780";"2770";"23750";"8545";"50";"895";"2360";"605";"775";"2465";"1395";"45130";"12365";"32765";"39720";"5405";"0.7";"797";"3875";"2945";"0.6";"0.6";"0.9";"0.6";"11.4";"6003";"5662";"341";"         .";;"2";"2326"
"11270";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"1";"18045";"8540";"9505";"760";"6000";"4755";"3145";"3385";"12230";"3625";"1255";"940";"5195";"1640";"110";"115";"60";"135";"1230";"95";"5";"225";"12";"12640";"9215";"2595";"835";"1.4";"6618";"10780";"207";"20";"80";"81";"19";"21";"71";"23";"48";"8";"91";"9";"2400";"2180";"3130";"3370";"3890";"4900";"2170";"3030";"890";"690";"1670";"1690";"2350";"3300";"850";"1180";"15";"13400";"28.8";"25.9";"50.4";"19.2";"45.2";"65.3";"11.2";"11.4";"9.9";"300";"650";"300";"3300";"2735";"0";"125";"1070";"150";"295";"725";"365";"4890";"1475";"3420";"4135";"755";"0.4";"1793";"430";"235";"0.4";"0.4";"0.5";"0.4";"14.7";"310";"273";"38";"         .";;"1";"3646"
"11271";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1";"1990";"980";"1010";"35";"950";"535";"270";"195";"1555";"305";"90";"45";"735";"185";"10";"20";"10";"25";"130";"5";"4";"5";"3";"1575";"1240";"280";"55";"1.3";"6424";"1514";"208";"16";"84";"64";"36";"17";"66";"7";"59";"18";"98";"2";"2370";"2130";"3690";"5960";;;"2110";"2970";"1120";"1000";"1970";;;;"1040";"1530";;"1400";"24.8";"22.3";"57.7";"15.1";"42.7";"72.5";"8.9";"12.5";"11.1";"20";"30";"20";"200";"785";"0";"30";"530";"15";"50";"90";"75";"485";"160";"320";"390";"90";"0.3";"1557";"105";"20";"0.3";"0.4";"0.5";"0.4";"13.6";"36";"31";"5";"      6211";"1";"1";"4017"
"11272";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1";"1680";"805";"870";"80";"505";"365";"305";"420";"1050";"375";"115";"145";"520";"105";"0";"10";"5";"5";"90";"5";"4";"30";"19";"1105";"790";"240";"80";"1.4";"3329";"977";"288";"33";"67";"79";"21";"26";"68";"21";"47";"6";"98";"2";"2540";"2110";"3420";"3830";"4740";"5440";"2180";"3710";"1580";"1140";"1940";"2460";"3290";"4110";"1250";"2130";;"1200";"35.2";"31.1";"47.7";"23.2";"44.1";"61.5";"17";"11.1";"8.9";"20";"40";"30";"390";"265";"0";"15";"80";"5";"30";"70";"55";"515";"160";"355";"430";"85";"0.5";"1015";"40";"25";"0.3";"0.7";"0.3";"0.3";"13";"57";"51";"6";"      6211";"1";"1";"3839"
"11273";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"1";"2330";"1030";"1300";"80";"780";"470";"325";"670";"1515";"450";"150";"215";"695";"155";"5";"20";"5";"15";"120";"5";"2";"80";"35";"1520";"1165";"280";"85";"1.3";"9135";"1174";"204";"20";"80";"86";"14";"24";"67";"23";"44";"9";"96";"4";"2480";"2240";"3340";"3480";"4400";;"2170";"3320";"1430";"1180";"1810";"1480";"2400";;"1280";"1580";;"1500";"28";"25.3";"53.5";"17.4";"42.9";"69.9";"11.7";"10.8";"9.2";"30";"50";"30";"630";"205";"0";"10";"50";"10";"20";"85";"30";"535";"145";"390";"460";"75";"0.4";"2096";"30";"20";"0.4";"0.5";"0.4";"0.4";"13.9";"26";"26";"0";"      6211";"1";"1";"3771"
"11274";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"1";"3455";"1675";"1775";"105";"1445";"870";"570";"460";"2695";"405";"245";"115";"1075";"325";"35";"20";"10";"20";"250";"15";"4";"45";"14";"2440";"1935";"380";"130";"1.3";"8158";"1811";"167";"27";"73";"88";"12";"15";"80";"36";"44";"6";"96";"4";"2180";"1950";"2910";"3560";;;"2190";"2980";"960";"880";"1480";"1620";;;"1040";"1480";;"2400";"20.2";"18.3";"61";"10.7";"39";"78.3";"5";"15.7";"14";"80";"220";"70";"460";"265";"0";"25";"75";"15";"30";"65";"55";"625";"145";"475";"530";"90";"0.3";"1470";"65";"40";"0.7";"0.4";"0.3";"0.3";"13.5";"42";"42";"0";"      6211";"1";"1";"3390"
"11275";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1";"1755";"815";"935";"45";"505";"615";"320";"270";"1220";"310";"160";"70";"470";"165";"20";"15";"5";"10";"125";"15";"9";"15";"10";"1310";"945";"285";"85";"1.3";"5752";"1174";"149";"10";"90";"86";"14";"21";"76";"29";"47";"3";"98";"2";"2020";"1920";"2290";;;;"1880";"2200";"920";"920";"1310";;;;"870";"1230";"11.2";"1400";"27.7";"25.6";"45.2";"19.6";"53.2";"64.1";"7.5";"10.8";"10.2";"30";"70";"40";"270";"185";"0";"5";"60";"20";"25";"45";"30";"475";"130";"350";"420";"60";"0.4";"1562";"30";"35";"0.4";"0.4";"0.7";"0.7";"12.9";"40";"31";"9";"      6211";"1";"1";"3114"
"11276";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1";"1690";"770";"920";"155";"505";"450";"400";"180";"1130";"330";"165";"70";"370";"260";"35";"20";"10";"45";"155";"10";"6";"10";"5";"1125";"790";"190";"150";"1.5";"4620";"883";"145";"44";"56";"94";"6";"13";"84";"55";"29";"3";"100";"0";"2280";"1850";"2810";"2750";"2910";;"2210";"3290";"1260";"950";"1540";"1470";"1390";;"1160";"1790";;"1400";"21.9";"19.1";"58.3";"10.9";"44.7";"75.4";"7";"21.9";"17.5";"90";"90";"50";"180";"100";"0";"5";"15";"15";"5";"35";"25";"395";"70";"320";"340";"50";"0.3";"1076";"35";"20";"0.3";"0.5";"0.3";"0.6";"15.5";"45";"37";"8";"      6221";"1";"1";"3412"
"11277";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"1";"5135";"2445";"2685";"250";"1300";"1440";"960";"1185";"3065";"1450";"330";"290";"1345";"455";"20";"25";"25";"25";"370";"30";"6";"25";"5";"3550";"2355";"945";"255";"1.4";"9156";"3247";"243";"11";"89";"80";"20";"27";"65";"13";"52";"8";"75";"25";"2610";"2410";"3880";"3910";;;"2310";"3010";"500";"300";"2010";"1610";;;"400";"570";"42.3";"4100";"36.1";"32.5";"40.7";"27.6";"48.4";"50.9";"16.7";"6.4";"5.7";"40";"140";"60";"1180";"930";"0";"40";"255";"65";"135";"340";"95";"1865";"660";"1205";"1560";"305";"0.5";"3327";"120";"75";"0.4";"0.4";"0.8";"0.5";"17.1";"66";"56";"10";"      6221";"1";"1";"3705"
"11278";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"1";"8720";"4065";"4655";"1165";"960";"1455";"2625";"2510";"3495";"3890";"585";"755";"1450";"225";"10";"25";"25";"15";"165";"55";"6";"130";"15";"4230";"1655";"1460";"1125";"2";"998";"4292";"316";"73";"27";"93";"7";"66";"32";"7";"25";"3";"99";"1";"3220";"2080";"3410";"3440";"3820";"4890";"2310";"3750";"1960";"1550";"1830";"2000";"2300";"3330";"1690";"2180";;"6800";"42.5";"34.9";"33.4";"33.7";"56";"29.4";"34.7";"4";"4";"50";"230";"140";"2470";"825";"5";"65";"120";"40";"120";"335";"145";"4360";"1365";"2995";"3505";"855";"1";"499";"210";"270";"0.8";"0.7";"1.5";"0.7";"10";"915";"874";"41";"         .";;"2";"1752"
