"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Motorfietsen_93";"AfstandTotHuisartsenpraktijk_94";"AfstandTotGroteSupermarkt_95";"AfstandTotKinderdagverblijf_96";"AfstandTotSchool_97";"ScholenBinnen3Km_98";"OppervlakteTotaal_99";"OppervlakteLand_100";"OppervlakteWater_101";"MeestVoorkomendePostcode_102";"Dekkingspercentage_103";"MateVanStedelijkheid_104";"Omgevingsadressendichtheid_105";"TotaalDiefstalUitWoningSchuurED_106";"VernielingMisdrijfTegenOpenbareOrde_107";"GeweldsEnSeksueleMisdrijven_108"
"9654";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";".";"122753";"58955";"63798";"13244";"23487";"28911";"32064";"25047";"64394";"40952";"10529";"6878";"24625";"13158";"1806";"659";"363";"1637";"8693";"863";"7";"1300";"10";"68746";"37282";"17330";"14134";"1.7";"2179";"61485";"186";"52";"48";"91";"9";"38";"59";"36";"23";"3";"92";"8";"2630";"2050";"3000";"3130";"3390";"4460";"2240";"3270";"1220";"880";"1390";"1590";"1900";"2700";"1080";"1540";;"94100";"28.7";"24.2";"46.8";"16.2";"51";"54.9";"13";"10.9";"9.8";"4180";"7540";"1990";"23780";"9040";"50";"960";"2445";"650";"805";"2630";"1500";"45420";"11980";"33440";"39925";"5495";"0.7";"806";"2875";"0.6";"0.6";"0.6";"0.6";"10.8";"6013";"5634";"379";"         .";;"2";"2392";"5";"5";"6"
"9655";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"1";"18300";"8640";"9660";"745";"5975";"5000";"3100";"3475";"12465";"3695";"1265";"885";"5590";"1840";"105";"110";"55";"170";"1410";"90";"4";"200";"11";"13120";"9660";"2605";"855";"1.4";"6686";"11220";"220";"19";"81";"81";"19";"21";"72";"23";"49";"7";"90";"10";"2350";"2120";"3140";"3160";"3800";"5020";"2110";"2990";"880";"700";"1700";"1790";"2310";"3500";"840";"1150";"13.7";"13500";"31.3";"27.9";"49.1";"19.3";"47.3";"65.6";"10.5";"11.3";"10.1";"350";"640";"220";"3320";"2805";"0";"125";"1075";"155";"305";"740";"400";"4880";"1385";"3495";"4115";"760";"0.4";"1782";"230";"0.4";"0.4";"0.4";"0.4";"14.8";"310";"274";"37";"         .";;"1";"3785";"4";"9";"13"
"9656";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1";"2010";"975";"1030";"35";"920";"580";"245";"220";"1585";"295";"85";"45";"800";"215";"5";"15";"10";"30";"160";"0";"1";"5";"2";"1620";"1305";"270";"50";"1.2";"6445";"1532";"221";"15";"85";"67";"33";"16";"71";"8";"63";"13";"98";"2";"2200";"2020";"3550";"5510";;;"1970";"3060";"1010";"970";"2000";;;;"940";"1570";;"1400";"26.8";"24.1";"57";"15.6";"45.6";"72.5";"8.5";"12.5";"10.8";"10";"20";"10";"210";"780";"0";"25";"510";"20";"50";"95";"80";"470";"135";"335";"390";"80";"0.3";"1507";"15";"0.3";"0.4";"0.5";"0.4";"14.2";"36";"31";"5";"      6211";"1";"1";"4190";"1";"8";"55"
"9657";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1";"1615";"785";"830";"65";"530";"370";"290";"355";"1055";"365";"105";"95";"540";"130";"5";"5";"5";"5";"120";"5";"4";"20";"13";"1145";"835";"240";"75";"1.4";"3196";"1015";"300";"31";"69";"79";"21";"25";"71";"21";"49";"5";"97";"3";"2450";"2020";"3420";"3480";"5370";"5320";"2150";"3700";"1520";"1110";"2100";"2370";"3310";"3790";"1270";"2130";;"1100";"38.8";"34.1";"44.9";"23";"48.7";"61.7";"15.9";"11";"9.1";"20";"30";"20";"340";"265";"0";"15";"90";"10";"30";"65";"50";"525";"140";"385";"440";"85";"0.5";"1035";"25";"0.3";"0.7";"0.3";"0.3";"13";"57";"51";"6";"      6211";"1";"1";"3985";"6";"14";"2"
"9658";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"1";"2350";"1070";"1280";"80";"810";"515";"310";"630";"1565";"435";"145";"205";"745";"195";"5";"15";"5";"20";"155";"5";"2";"70";"29";"1655";"1290";"275";"90";"1.3";"9221";"1227";"216";"20";"80";"83";"17";"23";"65";"21";"44";"12";"96";"4";"2420";"2120";"3450";"3360";"3580";;"2080";"3270";"1290";"1050";"1870";"1690";"2560";;"1160";"1580";;"1500";"30.7";"27.2";"52.5";"16.7";"44.7";"70.6";"10.2";"10.5";"11.1";"30";"40";"20";"610";"205";"0";"5";"55";"10";"15";"85";"30";"505";"135";"375";"430";"75";"0.3";"1986";"25";"0.4";"0.5";"0.4";"0.4";"13.1";"26";"26";"0";"      6211";"1";"1";"3891";"3";"5";"6"
"9659";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"1";"3575";"1720";"1855";"125";"1370";"985";"580";"510";"2720";"475";"265";"120";"1155";"365";"30";"20";"15";"25";"285";"20";"6";"45";"12";"2550";"2025";"380";"150";"1.3";"8446";"1961";"178";"25";"75";"83";"17";"13";"78";"36";"42";"9";"94";"6";"2170";"1930";"2890";"2860";;;"2130";"2910";"910";"790";"1460";"1740";;;"930";"1440";;"2400";"22.3";"19.8";"60";"10.8";"41.5";"78.6";"5.4";"16.5";"14.5";"110";"230";"40";"490";"310";"0";"25";"70";"20";"35";"90";"65";"675";"145";"530";"585";"85";"0.3";"1591";"35";"0.7";"0.4";"0.3";"0.3";"13.7";"42";"42";"0";"      6211";"1";"1";"3540";"2";"12";"13"
"9660";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1";"1760";"825";"935";"50";"485";"640";"310";"270";"1265";"270";"165";"65";"470";"210";"15";"15";"5";"20";"155";"5";"5";"5";"3";"1315";"950";"280";"90";"1.3";"5714";"1196";"154";"10";"90";"85";"15";"19";"77";"31";"46";"4";"98";"2";"2010";"1900";"2300";;;;"1850";"2220";"940";"930";"1380";;;;"920";"1180";"8";"1400";"29.1";"26.7";"43.3";"19.6";"54.9";"64.1";"7.6";"10.3";"10.2";"30";"70";"40";"260";"200";"0";"5";"65";"20";"20";"45";"40";"480";"115";"360";"420";"60";"0.4";"1552";"25";"0.4";"0.4";"0.7";"0.7";"13.9";"40";"31";"9";"      6211";"1";"1";"3241";"8";"11";"11"
"9661";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1";"1695";"770";"925";"155";"500";"450";"395";"190";"1135";"335";"165";"60";"420";"250";"35";"10";"5";"45";"155";"10";"7";"10";"7";"1140";"810";"185";"150";"1.5";"4616";"914";"161";"42";"58";"92";"8";"14";"82";"54";"29";"3";"100";"0";"2210";"1750";"2810";"2700";"3060";;"2160";"3120";"1280";"940";"1560";"1560";"1230";;"1150";"1780";;"1300";"23.9";"20.3";"57.2";"12.3";"44.4";"74.7";"6.7";"21.5";"17.4";"100";"100";"30";"180";"110";"0";"10";"20";"15";"5";"30";"30";"405";"80";"325";"340";"65";"0.4";"1103";"25";"0.3";"0.5";"0.3";"0.6";"15.6";"45";"37";"8";"      6221";"1";"1";"3514";"4";"5";"5"
"9662";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"1";"5280";"2490";"2785";"220";"1350";"1455";"960";"1285";"3140";"1520";"325";"295";"1470";"485";"20";"30";"20";"30";"390";"30";"5";"40";"7";"3685";"2450";"985";"260";"1.4";"9368";"3375";"259";"10";"90";"81";"19";"27";"67";"12";"56";"5";"75";"25";"2580";"2350";"3870";"3660";;;"2250";"2960";"540";"340";"1980";"1740";;;"430";"570";"40.2";"4300";"38.9";"35.3";"39.6";"27.3";"50.4";"51.4";"15.4";"6";"5.3";"50";"140";"60";"1230";"930";"0";"35";"260";"60";"150";"330";"95";"1820";"640";"1180";"1505";"310";"0.5";"3225";"75";"0.4";"0.4";"0.5";"0.5";"17";"66";"56";"9";"      6221";"1";"1";"3847";"5";"8";"8"
"9663";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"1";"8830";"4120";"4710";"1190";"1025";"1555";"2545";"2510";"3725";"3750";"620";"735";"1535";"300";"15";"30";"25";"20";"220";"70";"7";"135";"15";"4315";"1740";"1450";"1130";"2";"1011";"4303";"328";"72";"28";"93";"7";"66";"31";"6";"25";"3";"99";"1";"3070";"2040";"3270";"3290";"3680";"4710";"2230";"3610";"1950";"1510";"1860";"1990";"2300";"3360";"1620";"2190";;"6800";"45.3";"37.3";"33.5";"33.9";"56.8";"29.7";"34.6";"4";"4";"50";"210";"110";"2410";"865";"5";"60";"110";"50";"130";"350";"155";"4390";"1370";"3025";"3490";"900";"1";"503";"280";"0.8";"0.7";"0.6";"0.7";"9.4";"916";"874";"42";"         .";;"2";"1782";"4";"4";"5"
