"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"Nettoarbeidsparticipatie_64";"PercentageWerknemers_65";"PercentageZelfstandigen_66";"AantalInkomensontvangers_67";"GemiddeldInkomenPerInkomensontvanger_68";"GemiddeldInkomenPerInwoner_69";"k_40PersonenMetLaagsteInkomen_70";"k_20PersonenMetHoogsteInkomen_71";"GemGestandaardiseerdInkomenVanHuish_72";"k_40HuishoudensMetLaagsteInkomen_73";"k_20HuishoudensMetHoogsteInkomen_74";"HuishoudensMetEenLaagInkomen_75";"HuishOnderOfRondSociaalMinimum_76";"HuishoudensTot110VanSociaalMinimum_77";"HuishoudensTot120VanSociaalMinimum_78";"MediaanVermogenVanParticuliereHuish_79";"PersonenPerSoortUitkeringBijstand_80";"PersonenPerSoortUitkeringAO_81";"PersonenPerSoortUitkeringWW_82";"PersonenPerSoortUitkeringAOW_83";"JongerenMetJeugdzorgInNatura_84";"PercentageJongerenMetJeugdzorg_85";"WmoClienten_86";"WmoClientenRelatief_87";"TotaalDiefstalUitWoningSchuurED_88";"VernielingMisdrijfTegenOpenbareOrde_89";"GeweldsEnSeksueleMisdrijven_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"RUCultuurRecreatieOverigeDiensten_98";"PersonenautoSTotaal_99";"PersonenautoSBrandstofBenzine_100";"PersonenautoSOverigeBrandstof_101";"PersonenautoSPerHuishouden_102";"PersonenautoSNaarOppervlakte_103";"Motorfietsen_104";"AfstandTotHuisartsenpraktijk_105";"AfstandTotGroteSupermarkt_106";"AfstandTotKinderdagverblijf_107";"AfstandTotSchool_108";"ScholenBinnen3Km_109";"OppervlakteTotaal_110";"OppervlakteLand_111";"OppervlakteWater_112";"MeestVoorkomendePostcode_113";"Dekkingspercentage_114";"MateVanStedelijkheid_115";"Omgevingsadressendichtheid_116"
"9515";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";".";"122723";"58767";"63956";"12961";"23745";"29028";"31558";"25431";"64952";"40401";"10587";"6783";"25526";"13587";"1768";"648";"368";"1651";"9152";"801";"7";"1225";"10";"69180";"37774";"17420";"13986";"1.7";"2192";"61955";"196";"52";"48";"92";"8";"38";"59";"36";"24";"2";"92";"8";"2570";"2020";"2930";"3070";"3320";"4360";"2210";"3200";"1210";"870";"1370";"1570";"1880";"2680";"1060";"1530";;"56";"86";"14";"94200";"29.3";"24.7";"47";"16.2";"24.9";"55.3";"12.9";"10.8";"9.5";"14.8";"18.9";"10.5";"4030";"7310";"1650";"23830";"2700";"8.7";"11510";"94";"5";"5";"6";"9330";"50";"980";"2480";"695";"830";"2750";"1550";"45545";"39985";"5560";"0.7";"814";"2850";"0.6";"0.6";"0.6";"0.6";"10.3";"6012";"5599";"413";"         .";;"2";"2433"
"9516";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"1";"18755";"8845";"9910";"765";"6175";"5215";"3055";"3545";"12895";"3680";"1295";"890";"5930";"2005";"110";"100";"50";"170";"1585";"85";"5";"205";"11";"13325";"9765";"2675";"890";"1.4";"6852";"11545";"231";"18";"82";"82";"18";"20";"74";"23";"52";"6";"90";"10";"2260";"2080";"3010";"3140";"3850";"4250";"2070";"2910";"880";"690";"1670";"1760";"2410";"3580";"830";"1150";;"53";"84";"16";"13700";"30.9";"27.4";"48.9";"19.2";"22.9";"66";"10.2";"11.1";"9.4";"13.7";"16.5";"3.1";"340";"640";"210";"3380";"100";"1.9";"1340";"71";"4";"8";"13";"2845";"0";"140";"1080";"170";"300";"740";"415";"4905";"4145";"755";"0.4";"1791";"245";"0.5";"0.4";"0.4";"0.5";"14.2";"310";"274";"37";"         .";;"1";"3882"
"9517";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1";"2070";"1000";"1070";"45";"960";"610";"230";"225";"1650";"295";"90";"40";"850";"225";"5";"20";"10";"25";"175";"5";"4";"5";"4";"1620";"1275";"295";"55";"1.3";"6644";"1534";"231";"13";"87";"68";"32";"16";"75";"8";"66";"9";"97";"3";"2190";"1980";"3480";"5520";;;"1950";"2930";"1080";"940";"1920";;;;"920";"1520";;"50";"82";"18";"1400";"26.5";"23.3";"56.1";"14.9";"19.1";"72.7";"8.5";"11";"9.3";"11.8";"12.6";"0.2";"10";"30";"20";"210";;;"30";"14";"2";"13";"43";"770";"0";"20";"515";"20";"50";"80";"80";"450";"370";"80";"0.3";"1443";"15";"0.3";"0.4";"0.3";"0.4";"14";"36";"31";"5";"      6211";"1";"1";"4311"
"9518";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1";"1615";"775";"840";"75";"510";"395";"280";"355";"1065";"355";"105";"90";"555";"150";"5";"10";"5";"10";"130";"5";"4";"20";"13";"1135";"825";"240";"75";"1.4";"3194";"1066";"323";"32";"68";"76";"24";"25";"69";"22";"47";"6";"94";"6";"2470";"2040";"3260";"3570";"4910";"4100";"2130";"3540";"1480";"1110";"2080";"2400";"3370";"3790";"1240";"2180";;"51";"76";"24";"1100";"35.9";"31.4";"45.3";"22.8";"26.2";"62.8";"14.8";"10.4";"8.2";"12";"13.7";"5.1";"20";"30";"20";"340";"10";"2.2";"100";"62";"5";"11";"7";"265";"0";"20";"90";"10";"30";"70";"50";"510";"425";"85";"0.4";"1005";"30";"0.3";"0.7";"0.2";"0.3";"12.7";"57";"51";"6";"      6211";"1";"1";"4106"
"9519";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"1";"2360";"1060";"1300";"75";"805";"515";"320";"640";"1550";"445";"155";"215";"755";"220";"10";"10";"5";"20";"180";"5";"4";"80";"35";"1570";"1200";"280";"95";"1.3";"9256";"1280";"234";"19";"81";"83";"17";"22";"67";"21";"47";"11";"96";"4";"2380";"2120";"3360";"3310";"4180";;"2060";"3300";"1220";"1050";"1880";"1610";"2680";;"1150";"1600";;"49";"83";"17";"1500";"28.8";"25.5";"53.8";"17.6";"21.6";"69.2";"9.8";"11.3";"9.9";"15.1";"18.5";"2.5";"30";"50";"20";"630";"15";"2.3";"360";"152";"4";"8";"4";"220";"0";"10";"60";"10";"15";"85";"40";"505";"430";"75";"0.3";"1982";"20";"0.4";"0.5";"0.4";"0.4";"12.7";"26";"26";"0";"      6211";"1";"1";"4032"
"9520";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"1";"3925";"1885";"2040";"160";"1560";"1095";"590";"515";"3030";"510";"270";"115";"1345";"455";"30";"25";"10";"30";"365";"10";"3";"40";"11";"2805";"2240";"390";"180";"1.3";"9265";"2095";"193";"23";"77";"85";"15";"12";"80";"36";"44";"8";"93";"7";"2130";"1920";"2760";"2880";;;"2110";"2780";"940";"770";"1430";"1670";;;"930";"1410";;"48";"86";"14";"2600";"23.4";"20.5";"58.7";"12";"17.1";"78.2";"5.9";"16.2";"14.2";"20.3";"25.5";"0.6";"110";"250";"40";"500";"15";"1.2";"415";"106";"3";"8";"13";"315";"0";"30";"75";"20";"35";"85";"70";"720";"630";"90";"0.3";"1701";"45";"0.7";"0.5";"0.3";"0.3";"13.2";"42";"42";"0";"      6211";"1";"1";"3650"
"9521";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1";"1765";"845";"920";"50";"495";"620";"330";"270";"1255";"270";"175";"65";"515";"200";"15";"20";"5";"20";"145";"5";"5";"10";"7";"1315";"940";"290";"90";"1.3";"5727";"1223";"165";"10";"90";"85";"15";"18";"80";"30";"50";"1";"98";"2";"1860";"1820";"2090";;;;"1810";"2020";"930";"900";"1280";;;;"880";"1150";;"58";"86";"14";"1400";"30.6";"27.9";"42.4";"19.7";"23";"64.4";"7.9";"10.1";"9.6";"14.6";"17.3";"3.3";"30";"70";"30";"260";;;"85";"48";"6";"8";"15";"210";"0";"10";"65";"25";"25";"50";"35";"485";"430";"55";"0.4";"1568";"30";"0.5";"0.4";"0.8";"0.8";"13.4";"40";"31";"9";"      6211";"1";"1";"3334"
"9522";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1";"1700";"790";"910";"145";"500";"465";"390";"200";"1150";"320";"170";"60";"420";"265";"35";"5";"10";"45";"175";"5";"4";"5";"3";"1145";"810";"190";"145";"1.5";"4622";"913";"166";"42";"58";"93";"7";"14";"84";"57";"27";"2";"100";"0";"2160";"1700";"2800";"2640";"3110";;"2100";"3110";"1180";"940";"1520";"1510";"1270";;"1130";"1770";;"55";"87";"13";"1300";"25";"21.3";"56.7";"11.5";"18.9";"74.6";"7.6";"20.3";"15.3";"25.3";"30.1";"1.3";"90";"100";"20";"180";"25";"4.8";"120";"71";"4";"10";"11";"120";"0";"10";"20";"20";"5";"35";"35";"410";"355";"55";"0.4";"1114";"30";"0.3";"0.3";"0.3";"0.6";"15.3";"45";"37";"8";"      6221";"1";"1";"3562"
"9523";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"1";"5310";"2485";"2825";"215";"1345";"1515";"915";"1325";"3195";"1480";"335";"300";"1500";"505";"15";"25";"20";"35";"420";"40";"8";"35";"7";"3720";"2475";"990";"260";"1.4";"9424";"3434";"267";"10";"90";"83";"17";"27";"70";"10";"60";"4";"76";"24";"2440";"2310";"3610";"3540";;;"2190";"2900";"490";"330";"2000";"1810";;;"430";"580";;"56";"83";"17";"4300";"38.3";"34.4";"39.6";"26.8";"29.1";"53.1";"14.1";"6.1";"5.4";"7";"8.6";"18.7";"40";"120";"70";"1270";"25";"2.1";"230";"43";"5";"6";"9";"945";"0";"40";"255";"70";"135";"335";"105";"1825";"1505";"315";"0.5";"3234";"75";"0.4";"0.4";"0.5";"0.5";"16.1";"66";"56";"9";"      6221";"1";"1";"3920"
"9524";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"1";"9025";"4235";"4785";"1230";"1115";"1615";"2540";"2520";"3915";"3785";"635";"695";"1605";"430";"15";"25";"25";"30";"345";"65";"8";"130";"14";"4360";"1770";"1460";"1135";"2";"1042";"4458";"346";"70";"30";"93";"7";"65";"33";"6";"27";"2";"99";"1";"3050";"2040";"3200";"3270";"3620";"4600";"2250";"3530";"1970";"1550";"1840";"2000";"2300";"3310";"1620";"2180";;"64";"76";"24";"6900";"45.7";"37.5";"33.7";"33.7";"39.8";"30.1";"34.3";"4.1";"4.3";"5.7";"7.8";"211.2";"40";"190";"110";"2360";"130";"6.2";"525";"58";"5";"3";"3";"915";"5";"65";"110";"55";"130";"380";"175";"4535";"3615";"920";"1";"523";"275";"0.8";"0.7";"0.6";"0.7";"9.4";"915";"867";"48";"         .";;"2";"1853"
