"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"RUCultuurRecreatieOverigeDiensten_98";"PersonenautoSTotaal_99";"PersonenautoSBrandstofBenzine_100";"PersonenautoSOverigeBrandstof_101";"PersonenautoSPerHuishouden_102";"PersonenautoSNaarOppervlakte_103";"Motorfietsen_104";"AfstandTotHuisartsenpraktijk_105";"AfstandTotGroteSupermarkt_106";"AfstandTotKinderdagverblijf_107";"AfstandTotSchool_108";"ScholenBinnen3Km_109";"OppervlakteTotaal_110";"OppervlakteLand_111";"OppervlakteWater_112";"MeestVoorkomendePostcode_113";"Dekkingspercentage_114";"MateVanStedelijkheid_115";"Omgevingsadressendichtheid_116"
"9503";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";".";"121565";"58219";"63346";"12790";"23204";"28687";"30981";"25903";"64138";"40028";"10632";"6767";"25451";"13704";"1704";"651";"349";"1621";"9379";"856";"7";"1298";"11";"68504";"37332";"17325";"13847";"1.7";"2171";"61884";"207";"52";"48";"92";"8";"39";"60";"36";"24";"1";"92";"8";"2510";"2010";"2830";"2960";"3220";"4260";"2170";"3080";"1150";"820";"1310";"1480";"1760";"2510";"1000";"1440";;"25860";"38280";"33450";"57";"86";"14";"94200";"30.3";"25.7";"46.8";"16.3";"26.9";"55.2";"12.8";"10.2";"9.2";"14.5";"18.4";"12.3";"3870";"7250";"1430";"23900";"2880";"9.5";"12170";"100";"9625";"50";"1010";"2525";"735";"850";"2855";"1600";"45715";"40145";"5570";"0.7";"817";"2790";"0.6";"0.7";"0.6";"0.6";"10.6";"6012";"5599";"413";"         .";;"2";"2451"
"9504";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"1";"18635";"8765";"9865";"770";"5970";"5295";"2985";"3615";"12690";"3710";"1325";"910";"5985";"2040";"105";"100";"55";"165";"1630";"85";"5";"195";"10";"13210";"9675";"2645";"895";"1.4";"6808";"11713";"244";"18";"82";"83";"17";"22";"75";"24";"51";"3";"90";"10";"2220";"2060";"2900";"3090";"3770";"4050";"2040";"2830";"850";"680";"1580";"1590";"2150";"3710";"790";"1100";"14.1";"1830";"6380";"8190";"54";"84";"16";"13800";"32.3";"28.7";"47.8";"19.5";"25.1";"65.5";"10.4";"10.5";"8.9";"13.3";"16";"3.2";"320";"630";"200";"3370";"110";"2.2";"1415";"76";"2920";"0";"140";"1105";"180";"310";"740";"440";"4890";"4160";"725";"0.4";"1786";"235";"0.5";"0.4";"0.4";"0.5";"14.6";"310";"274";"37";"         .";;"1";"3930"
"9505";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1";"2065";"995";"1070";"45";"940";"625";"230";"230";"1635";"305";"90";"45";"860";"245";"5";"15";"15";"25";"190";"0";"2";"5";"4";"1625";"1280";"300";"55";"1.3";"6634";"1559";"243";"13";"87";"71";"29";"17";"75";"9";"66";"8";"97";"3";"2210";"2040";"3260";"5560";;;"1970";"2970";"1050";"890";"2120";;;;"880";"1500";;"100";"900";"940";"50";"81";"19";"1400";"28.8";"25.2";"53.8";"15";"22.3";"72.3";"8.7";"9.6";"7.4";"10.1";"13";"0";"10";"30";"20";"220";"10";"1.5";"35";"17";"810";"0";"15";"530";"15";"60";"95";"90";"455";"370";"80";"0.3";"1456";"10";"0.3";"0.3";"0.3";"0.4";"14.3";"36";"31";"5";"      6211";"1";"1";"4383"
"9506";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1";"1545";"750";"790";"70";"465";"370";"270";"360";"990";"355";"110";"95";"535";"135";"5";"5";"5";"5";"115";"5";"5";"25";"17";"1075";"765";"235";"75";"1.4";"3056";"1069";"332";"31";"69";"78";"22";"26";"70";"22";"48";"3";"94";"6";"2400";"1990";"3120";"3590";"5010";"4320";"2040";"3470";"1370";"1030";"1920";"2130";"3210";"4010";"1130";"2050";;"90";"500";"730";"51";"75";"25";"1100";"38.3";"33.5";"43.2";"22.8";"29.7";"61.8";"15.2";"10.4";"8.3";"12.3";"13.9";"5.2";"20";"30";"10";"340";"10";"2.4";"120";"78";"275";"0";"20";"90";"10";"35";"65";"50";"495";"415";"80";"0.5";"982";"25";"0.3";"0.6";"0.2";"0.4";"13";"57";"51";"6";"      6211";"1";"1";"4151"
"9507";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"1";"2430";"1110";"1320";"80";"810";"560";"325";"650";"1605";"455";"165";"215";"770";"240";"5";"15";"10";"20";"200";"10";"4";"70";"30";"1585";"1190";"300";"95";"1.3";"9534";"1296";"244";"19";"81";"86";"14";"24";"74";"25";"49";"2";"96";"4";"2310";"2070";"3120";"3320";"3970";;"2020";"3090";"1160";"1010";"1700";"1490";"2290";;"1090";"1440";;"120";"770";"1150";"52";"84";"16";"1600";"28.9";"25.5";"53.8";"17.3";"22.6";"69.6";"9.6";"9.4";"9.7";"13.5";"17.6";"1.9";"30";"50";"20";"610";"15";"2.2";"335";"138";"220";"0";"5";"65";"10";"15";"85";"40";"540";"470";"70";"0.3";"2123";"30";"0.4";"0.5";"0.4";"0.4";"13.6";"26";"26";"0";"      6211";"1";"1";"4092"
"9508";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"1";"3940";"1885";"2055";"160";"1550";"1125";"580";"525";"3035";"510";"285";"115";"1370";"455";"30";"30";"10";"30";"365";"20";"6";"40";"11";"2795";"2215";"405";"175";"1.3";"9307";"2150";"201";"24";"76";"85";"15";"14";"84";"36";"48";"2";"91";"9";"2110";"1920";"2700";"2780";;;"2090";"2720";"840";"690";"1300";"1250";;;"810";"1190";"7.9";"730";"1580";"1400";"49";"86";"14";"2600";"25.7";"22.6";"57.1";"13.6";"19.5";"77.1";"6.7";"14.5";"12.2";"19.4";"23.8";"0.6";"110";"260";"40";"490";"15";"1.2";"435";"110";"340";"0";"30";"80";"30";"40";"85";"75";"700";"610";"90";"0.3";"1654";"35";"0.7";"0.5";"0.3";"0.4";"13";"42";"42";"0";"      6211";"1";"1";"3697"
"9509";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1";"1695";"815";"875";"45";"430";"615";"325";"280";"1175";"280";"175";"65";"485";"210";"20";"15";"5";"15";"165";"5";"5";"10";"6";"1270";"915";"275";"80";"1.3";"5494";"1215";"176";"10";"90";"86";"14";"20";"76";"29";"47";"3";"98";"2";"1810";"1780";"2120";;;;"1750";"2020";"940";"900";"1300";;;;"880";"1140";;"110";"480";"960";"60";"86";"14";"1400";"33.4";"30.7";"43.1";"19.7";"24.8";"65.4";"7.3";"10.4";"9.6";"15.1";"18.1";"3.1";"30";"60";"30";"260";;;"95";"56";"215";"0";"10";"70";"25";"20";"50";"40";"495";"445";"45";"0.4";"1600";"25";"0.4";"0.5";"0.9";"0.8";"13.8";"40";"31";"9";"      6211";"1";"1";"3375"
"9510";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1";"1625";"735";"890";"125";"455";"455";"370";"215";"1075";"325";"170";"60";"395";"255";"35";"5";"10";"45";"165";"5";"4";"5";"5";"1100";"775";"190";"145";"1.5";"4426";"916";"178";"42";"58";"93";"7";"15";"84";"59";"25";"1";"100";"0";"2150";"1770";"2690";"2550";"2860";;"2120";"2880";"1170";"950";"1470";"1430";"1240";;"1110";"1690";;"310";"610";"500";"57";"87";"13";"1300";"25.7";"22.3";"56.1";"12.2";"19.9";"72.9";"7";"21.3";"16";"25.9";"30.2";"1.3";"90";"90";"20";"190";"30";"6.4";"135";"83";"125";"0";"10";"20";"15";"5";"45";"30";"405";"340";"60";"0.4";"1095";"30";"0.3";"0.3";"0.3";"0.6";"15.8";"45";"37";"8";"      6221";"1";"1";"3555"
"9511";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"1";"5315";"2465";"2850";"240";"1310";"1530";"880";"1350";"3175";"1485";"335";"320";"1580";"515";"15";"20";"15";"40";"430";"25";"5";"25";"5";"3755";"2540";"945";"275";"1.4";"9437";"3508";"283";"9";"91";"84";"16";"28";"69";"12";"57";"3";"76";"24";"2390";"2270";"3540";"3410";;;"2160";"2810";"500";"350";"1950";"1810";;;"440";"570";"41.6";"380";"1590";"2450";"57";"83";"17";"4300";"39";"35";"38";"26.8";"31.3";"52.6";"14.6";"5.9";"5.1";"6.9";"8";"21.2";"30";"110";"60";"1280";"25";"2.1";"265";"50";"930";"0";"50";"250";"75";"130";"310";"110";"1795";"1505";"295";"0.5";"3188";"75";"0.4";"0.3";"0.4";"0.4";"16.7";"66";"56";"9";"      6221";"1";"1";"3965"
"9512";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"1";"8940";"4200";"4735";"1210";"1100";"1630";"2475";"2520";"3915";"3745";"625";"660";"1620";"385";"15";"25";"20";"15";"315";"70";"8";"125";"14";"4330";"1760";"1455";"1120";"2";"1032";"4438";"374";"70";"30";"90";"10";"66";"33";"6";"27";"1";"99";"1";"3020";"2160";"3120";"3170";"3460";"4510";"2310";"3420";"1840";"1430";"1750";"1860";"2120";"3100";"1500";"2040";;"950";"1730";"3900";"64";"75";"25";"6900";"48.4";"39.7";"33.3";"33.7";"50.5";"30";"33.8";"3.8";"3.7";"5.2";"6.9";"236.5";"40";"190";"80";"2340";"145";"6.9";"560";"63";"940";"5";"65";"115";"55";"135";"385";"180";"4570";"3650";"920";"1.1";"527";"270";"0.8";"0.7";"0.6";"0.7";"9.8";"915";"867";"48";"         .";;"2";"1854"
