"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWOZWaardeVanWoningen_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"OQOverheidOnderwijsEnZorg_98";"RUCultuurRecreatieOverigeDiensten_99";"PersonenautoSTotaal_100";"PersonenautoSBrandstofBenzine_101";"PersonenautoSOverigeBrandstof_102";"PersonenautoSPerHuishouden_103";"PersonenautoSNaarOppervlakte_104";"Motorfietsen_105";"AfstandTotHuisartsenpraktijk_106";"AfstandTotGroteSupermarkt_107";"AfstandTotKinderdagverblijf_108";"AfstandTotSchool_109";"ScholenBinnen3Km_110";"OppervlakteTotaal_111";"OppervlakteLand_112";"OppervlakteWater_113";"MeestVoorkomendePostcode_114";"Dekkingspercentage_115";"MateVanStedelijkheid_116";"Omgevingsadressendichtheid_117"
"9738";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";".";"120227";"57649";"62578";"12488";"22698";"28592";"29856";"26593";"63857";"38989";"10701";"6680";"25978";"13802";"1693";"700";"351";"1611";"9447";"868";"7";"1390";"12";"68032";"37037";"17484";"13511";"1.7";"2147";"62839";"239";"51";"49";"92";"8";"39";"60";"35";"25";"1";"91";"9";"2520";"1980";"2860";"3000";"3290";"4410";"2120";"3110";"1230";"900";"1380";"1550";"1840";"2620";"1030";"1510";"3.3";"24290";"37860";"34500";"57";"86";"14";"94100";"32.3";"27.5";"47.2";"16.3";"28.3";"55.7";"12.5";"9.5";"9.6";"14.6";"18.5";"19.4";"3680";"7040";"1070";"24770";;;"12080";"100";"12390";"50";"1055";"2690";"775";"885";"2985";"2295";"1655";"45810";"40360";"5450";"0.7";"818";"2630";"0.6";"0.6";"0.5";"0.6";"10.4";"6012";"5599";"413";"         .";;"1";"2520"
"9739";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"1";"19695";"9260";"10435";"835";"6270";"5710";"3100";"3775";"13425";"3930";"1390";"940";"6540";"2400";"115";"115";"55";"205";"1920";"105";"5";"235";"12";"13795";"10055";"2845";"900";"1.4";"7188";"12432";"274";"17";"83";"84";"16";"21";"76";"23";"54";"3";"88";"12";"2170";"1960";"3060";"3050";"4010";"4720";"1960";"2890";"980";"810";"1670";"1680";"2240";"3130";"920";"1180";"14.6";"2080";"6820";"8790";"53";"83";"17";"14300";"34.6";"30.9";"47.8";"19.6";"26.1";"65.6";"10.3";"10.5";"9.4";"13.6";"16.6";"5.5";"350";"640";"170";"3550";;;"1400";"71";"3560";"5";"150";"1145";"200";"350";"815";"445";"450";"5225";"4440";"785";"0.4";"1908";"255";"0.5";"0.4";"0.4";"0.5";"14.3";"310";"274";"37";"         .";;"1";"4077"
"9740";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1";"2130";"975";"1150";"45";"975";"655";"240";"220";"1715";"280";"80";"45";"945";"260";"5";"15";"15";"25";"205";"5";"2";"10";"4";"1670";"1305";"300";"65";"1.3";"6865";"1601";"285";"11";"89";"75";"25";"16";"79";"8";"72";"5";"97";"3";"2110";"1970";"3260";"3550";;;"1970";"2890";"1160";"1030";"2170";"2950";;;"1070";"1660";;"190";"840";"1040";"48";"80";"20";"1400";;;"54.7";"15.4";;"73.3";"7.5";"9.5";"7.4";"9.9";"12.7";"0.9";"20";"30";"20";"200";;;"35";"16";"820";"0";"20";"515";"25";"50";"90";"40";"85";"460";"375";"80";"0.3";"1472";"20";"0.3";"0.4";"0.4";"0.4";"14";"36";"31";"5";"      6211";"1";"1";"4598"
"9741";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1";"1600";"750";"850";"75";"505";"360";"285";"370";"1035";"355";"115";"95";"590";"130";"5";"5";"5";"5";"105";"10";"4";"25";"16";"1125";"810";"240";"70";"1.4";"3137";"1078";"360";"29";"71";"81";"19";"26";"72";"21";"50";"3";"94";"6";"2530";"1990";"3480";"3780";"4620";"5230";"2070";"3700";"1470";"1130";"2010";"2380";"2970";"3510";"1180";"2220";;"100";"530";"740";"50";"77";"23";"1100";;;"45.4";"20.9";;"63.9";"13.5";"10";"8.7";"11.8";"13.4";"8.8";"20";"30";"10";"360";;;"100";"63";"345";"0";"25";"100";"5";"45";"65";"50";"55";"500";"415";"85";"0.4";"990";"30";"0.3";"0.6";"0.2";"0.4";"13";"57";"51";"6";"      6211";"1";"1";"4302"
"9742";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"1";"2555";"1120";"1430";"90";"830";"635";"350";"645";"1705";"465";"170";"215";"845";"230";"5";"15";"5";"20";"190";"5";"3";"70";"27";"1685";"1255";"315";"115";"1.4";"9819";"1444";"267";"17";"83";"84";"16";"25";"72";"23";"49";"2";"91";"9";"2250";"2050";"3160";"3200";"4570";;"1960";"3070";"1190";"1050";"1810";"1520";"2420";;"1080";"1470";;"360";"700";"1050";"50";"84";"16";"1700";;;"52.5";"17.1";;"69.2";"9.3";"9.9";"10.1";"13.6";"17.3";"3.2";"30";"50";"30";"630";;;"325";"127";"295";"0";"10";"55";"15";"15";"90";"65";"45";"615";"540";"75";"0.4";"2417";"30";"0.2";"0.5";"0.4";"0.4";"13.5";"26";"26";"0";"      6211";"1";"1";"4186"
"9743";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"1";"4360";"2145";"2215";"190";"1550";"1325";"655";"635";"3215";"680";"350";"125";"1505";"480";"30";"25";"5";"35";"385";"25";"6";"75";"17";"3050";"2330";"500";"220";"1.3";"10381";"2435";"239";"25";"75";"86";"14";"16";"80";"33";"48";"4";"84";"16";"2020";"1750";"2760";"2950";"2380";;"1850";"2900";"880";"770";"1220";"1000";"950";;"870";"980";"14.8";"510";"1950";"1850";"51";"86";"14";"3000";"30.2";"26.8";"54.5";"16.6";;"72.7";"9.1";"14";"12.6";"20.5";"24.6";"1.7";"130";"280";"40";"580";;;"445";"102";"525";"0";"30";"95";"40";"55";"120";"100";"90";"950";"800";"150";"0.3";"2239";"40";"0.6";"0.4";"0.4";"0.5";"12.6";"42";"42";"0";"      6211";"1";"1";"3867"
"9744";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1";"1840";"885";"955";"45";"540";"660";"310";"290";"1340";"265";"170";"65";"595";"235";"20";"20";"5";"15";"175";"15";"6";"15";"7";"1420";"1060";"290";"70";"1.3";"5935";"1389";"191";"8";"92";"87";"13";"17";"82";"26";"56";"1";"98";"2";"1850";"1800";"2310";"2930";;;"1780";"2180";"970";"920";"1410";"2040";;;"910";"1200";;"130";"690";"920";"58";"86";"14";"1500";;;"44.6";"19.4";;"66.7";"8.4";"8.7";"8.6";"12.8";"16.4";"5.8";"30";"50";"30";"260";;;"105";"57";"310";"0";"10";"80";"30";"35";"70";"45";"40";"515";"460";"55";"0.4";"1668";"35";"0.4";"0.4";"0.9";"0.8";"13.9";"40";"31";"9";"      6211";"1";"1";"3541"
"9745";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1";"1920";"920";"1005";"175";"540";"585";"400";"220";"1255";"425";"175";"60";"430";"545";"30";"10";"10";"75";"420";"15";"7";"15";"7";"1110";"795";"200";"125";"1.4";"5192";"951";"197";"40";"60";"95";"5";"13";"86";"57";"28";"1";"100";"0";"2090";"1590";"2790";"2580";"3350";;"1940";"3000";"1170";"870";"1570";"1700";"1310";;"1060";"1880";;"410";"600";"750";"55";"86";"14";"1300";;;"56.8";"12.3";;"73.8";"7";"19.8";"16.9";"24";"29.6";"2.2";"80";"100";"20";"200";;;"125";"65";"170";"0";"10";"20";"15";"5";"55";"30";"30";"405";"350";"55";"0.4";"1095";"30";"0.9";"0.4";"0.4";"0.8";"14.8";"45";"37";"8";"      6221";"1";"1";"3702"
"9746";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"1";"5295";"2460";"2835";"210";"1330";"1485";"865";"1395";"3165";"1455";"335";"340";"1620";"530";"15";"30";"10";"30";"445";"40";"7";"25";"5";"3735";"2500";"995";"235";"1.4";"9452";"3534";"323";"9";"91";"84";"16";"29";"69";"12";"58";"2";"77";"23";"2310";"2170";"3660";"2910";;;"2110";"2770";"690";"540";"2090";"1690";;;"690";"680";"39.9";"380";"1560";"2420";"57";"83";"17";"4200";"41.1";"36.9";"37.9";"26";"31.5";"53.5";"13.5";"6.9";"6";"8";"9.5";"25.8";"40";"100";"40";"1330";;;"265";"50";"1090";"0";"45";"280";"70";"145";"325";"115";"110";"1780";"1495";"285";"0.5";"3156";"65";"0.5";"0.3";"0.4";"0.4";"16.7";"66";"56";"9";"      6221";"1";"1";"4102"
"9747";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"1";"8965";"4240";"4730";"1200";"1220";"1620";"2370";"2555";"4045";"3665";"650";"610";"1805";"485";"15";"30";"15";"40";"385";"65";"7";"125";"14";"4435";"1885";"1450";"1105";"2";"1034";"4540";"395";"69";"31";"91";"9";"65";"35";"6";"29";"0";"99";"1";"3050";"1960";"3210";"3330";"3620";"4640";"2030";"3540";"1880";"1270";"1860";"2000";"2250";"3190";"1330";"2140";;"1080";"1790";"3730";"62";"75";"25";"6800";"49.8";"41";"33.7";"34";"47.2";"31";"32.3";"3.5";"3.9";"5";"6.8";"309.9";"40";"190";"80";"2480";;;"580";"65";"1215";"5";"65";"125";"60";"135";"380";"280";"170";"4235";"3510";"720";"1";"488";"210";"0.8";"0.7";"0.6";"0.7";"9.9";"915";"867";"48";"         .";;"2";"1909"
